,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
H3K27me3,26520.0,26515.0,17418.0,26520.0,8398.0,12147.0,11376.0,19602.0,1363.0,415.0,10578.0,3211.0,8259.0,23197.0,21503.0,555.0,13468.0,13330.0,9487.0,26520.0,9927.0,26520.0,293.0,12843.0,26495.0,24953.0,26520.0,5561.0,2347.0,14797.0,3955.0,2737.0,1506.0,26520.0,26520.0,1814.0,12313.0,11154.0,4299.0,25807.0,26520.0,10209.0,26520.0,19633.0
H3K9ac,27389.0,27384.0,17967.0,27389.0,8602.0,12448.0,11660.0,20185.0,1410.0,430.0,10870.0,3300.0,8440.0,23914.0,22123.0,571.0,13800.0,13690.0,9779.0,27389.0,10264.0,27389.0,298.0,26495.0,13680.0,25760.0,27389.0,5674.0,2424.0,15300.0,4058.0,2794.0,1553.0,27389.0,27389.0,1873.0,12759.0,11417.0,4395.0,26649.0,27389.0,10465.0,27389.0,20207.0
HLA-DR,25786.0,25781.0,17047.0,25786.0,8218.0,11741.0,11061.0,19053.0,1296.0,385.0,10245.0,3111.0,8005.0,22486.0,20862.0,552.0,13132.0,12942.0,9193.0,25786.0,9792.0,25786.0,284.0,24953.0,25760.0,12157.0,25786.0,5410.0,2322.0,14554.0,3857.0,2675.0,1481.0,25786.0,25786.0,1785.0,12152.0,10904.0,4147.0,25129.0,25786.0,9816.0,25786.0,18984.0
HLA_Class_1,27418.0,27413.0,17986.0,27418.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,27418.0,10276.0,27418.0,300.0,26520.0,27389.0,25786.0,13709.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,27418.0,27418.0,1876.0,12772.0,11430.0,4399.0,26676.0,27418.0,10477.0,27418.0,20225.0
IDO,5679.0,5679.0,3910.0,5679.0,2003.0,2839.0,2658.0,4420.0,247.0,74.0,2386.0,745.0,2020.0,5047.0,4775.0,151.0,3206.0,3049.0,2000.0,5679.0,2159.0,5679.0,67.0,5561.0,5674.0,5410.0,5679.0,714.0,531.0,3224.0,919.0,650.0,359.0,5679.0,5679.0,408.0,2623.0,2706.0,1044.0,5564.0,5679.0,2372.0,5679.0,4308.0
Keratin17,2425.0,2425.0,1702.0,2425.0,799.0,1083.0,1100.0,1811.0,126.0,36.0,994.0,290.0,768.0,2104.0,1986.0,52.0,1345.0,1212.0,912.0,2425.0,1016.0,2425.0,38.0,2347.0,2424.0,2322.0,2425.0,531.0,139.0,1475.0,392.0,284.0,144.0,2425.0,2425.0,189.0,1225.0,1078.0,422.0,2376.0,2425.0,922.0,2425.0,1760.0
Keratin6,15316.0,15314.0,10518.0,15316.0,4991.0,6849.0,6526.0,11318.0,804.0,181.0,6155.0,1799.0,4742.0,13251.0,12386.0,341.0,8121.0,7624.0,5606.0,15316.0,6289.0,15316.0,155.0,14797.0,15300.0,14554.0,15316.0,3224.0,1475.0,4580.0,2342.0,1717.0,904.0,15316.0,15316.0,1103.0,7742.0,6699.0,2552.0,15008.0,15316.0,5703.0,15316.0,11081.0
Ki67,4064.0,4063.0,2783.0,4064.0,1424.0,1877.0,1739.0,3067.0,214.0,43.0,1658.0,505.0,1340.0,3568.0,3375.0,98.0,2219.0,2102.0,1507.0,4064.0,1599.0,4064.0,54.0,3955.0,4058.0,3857.0,4064.0,919.0,392.0,2342.0,330.0,443.0,267.0,4064.0,4064.0,292.0,1962.0,1818.0,701.0,3979.0,4064.0,1551.0,4064.0,3011.0
Lag3,2795.0,2795.0,1985.0,2795.0,1002.0,1284.0,1258.0,2108.0,132.0,33.0,1117.0,349.0,928.0,2450.0,2302.0,68.0,1563.0,1424.0,1033.0,2795.0,1214.0,2795.0,30.0,2737.0,2794.0,2675.0,2795.0,650.0,284.0,1717.0,443.0,168.0,183.0,2795.0,2795.0,172.0,1461.0,1315.0,503.0,2742.0,2795.0,1038.0,2795.0,2048.0
MPO,1554.0,1554.0,1078.0,1554.0,546.0,692.0,663.0,1200.0,75.0,19.0,622.0,185.0,540.0,1352.0,1279.0,39.0,835.0,863.0,532.0,1554.0,638.0,1554.0,17.0,1506.0,1553.0,1481.0,1554.0,359.0,144.0,904.0,267.0,183.0,68.0,1554.0,1554.0,108.0,779.0,693.0,244.0,1523.0,1554.0,557.0,1554.0,1145.0
Na,27418.0,27413.0,17986.0,27418.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,27418.0,10276.0,27418.0,300.0,26520.0,27389.0,25786.0,27418.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,13709.0,27418.0,1876.0,12772.0,11430.0,4399.0,26676.0,27418.0,10477.0,27418.0,20225.0
P,27418.0,27413.0,17986.0,27418.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,27418.0,10276.0,27418.0,300.0,26520.0,27389.0,25786.0,27418.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,27418.0,13709.0,1876.0,12772.0,11430.0,4399.0,26676.0,27418.0,10477.0,27418.0,20225.0
p53,1876.0,1876.0,1268.0,1876.0,588.0,828.0,805.0,1382.0,105.0,27.0,721.0,211.0,577.0,1611.0,1518.0,43.0,985.0,924.0,651.0,1876.0,723.0,1876.0,19.0,1814.0,1873.0,1785.0,1876.0,408.0,189.0,1103.0,292.0,172.0,108.0,1876.0,1876.0,82.0,914.0,789.0,303.0,1831.0,1876.0,720.0,1876.0,1369.0
Pan-Keratin,12772.0,12769.0,8815.0,12772.0,4166.0,5594.0,5277.0,9366.0,672.0,138.0,5073.0,1459.0,3869.0,10987.0,10267.0,275.0,6703.0,6269.0,4667.0,12772.0,5362.0,12772.0,129.0,12313.0,12759.0,12152.0,12772.0,2623.0,1225.0,7742.0,1962.0,1461.0,779.0,12772.0,12772.0,914.0,3281.0,5537.0,2104.0,12521.0,12772.0,4581.0,12772.0,9127.0
PD-L1,11430.0,11429.0,7895.0,11430.0,4080.0,5507.0,5181.0,8720.0,526.0,134.0,4743.0,1435.0,3872.0,10038.0,9469.0,267.0,6455.0,6000.0,4103.0,11430.0,4471.0,11430.0,130.0,11154.0,11417.0,10904.0,11430.0,2706.0,1078.0,6699.0,1818.0,1315.0,693.0,11430.0,11430.0,789.0,5537.0,2694.0,1996.0,11200.0,11430.0,4524.0,11430.0,8497.0
PD1,4399.0,4399.0,3045.0,4399.0,1513.0,2082.0,1982.0,3312.0,214.0,55.0,1861.0,580.0,1478.0,3889.0,3668.0,105.0,2423.0,2261.0,1618.0,4399.0,1686.0,4399.0,44.0,4299.0,4395.0,4147.0,4399.0,1044.0,422.0,2552.0,701.0,503.0,244.0,4399.0,4399.0,303.0,2104.0,1996.0,422.0,4303.0,4399.0,1789.0,4399.0,3307.0
phospho-S6,26676.0,26671.0,17591.0,26676.0,8427.0,12140.0,11408.0,19708.0,1353.0,400.0,10585.0,3227.0,8239.0,23274.0,21572.0,558.0,13515.0,13358.0,9507.0,26676.0,10070.0,26676.0,295.0,25807.0,26649.0,25129.0,26676.0,5564.0,2376.0,15008.0,3979.0,2742.0,1523.0,26676.0,26676.0,1831.0,12521.0,11200.0,4303.0,12988.0,26676.0,10177.0,26676.0,19664.0
Si,27418.0,27413.0,17986.0,27418.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,27418.0,10276.0,27418.0,300.0,26520.0,27389.0,25786.0,27418.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,27418.0,27418.0,1876.0,12772.0,11430.0,4399.0,26676.0,13709.0,10477.0,27418.0,20225.0
SMA,10477.0,10473.0,6895.0,10477.0,3347.0,5087.0,4799.0,7869.0,506.0,188.0,4327.0,1326.0,3532.0,9284.0,8616.0,247.0,5490.0,5409.0,3715.0,10477.0,3708.0,10477.0,138.0,10209.0,10465.0,9816.0,10477.0,2372.0,922.0,5703.0,1551.0,1038.0,557.0,10477.0,10477.0,720.0,4581.0,4524.0,1789.0,10177.0,10477.0,2214.0,10477.0,7980.0
Ta,27418.0,27413.0,17986.0,27418.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,27418.0,10276.0,27418.0,300.0,26520.0,27389.0,25786.0,27418.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,27418.0,27418.0,1876.0,12772.0,11430.0,4399.0,26676.0,27418.0,10477.0,13709.0,20225.0
Vimentin,20225.0,20220.0,13196.0,20225.0,6381.0,9398.0,8817.0,15064.0,1006.0,329.0,8114.0,2508.0,6432.0,17788.0,16466.0,425.0,10235.0,10273.0,7152.0,20225.0,7338.0,20225.0,234.0,19633.0,20207.0,18984.0,20225.0,4308.0,1760.0,11081.0,3011.0,2048.0,1145.0,20225.0,20225.0,1369.0,9127.0,8497.0,3307.0,19664.0,20225.0,7980.0,20225.0,7549.0
