,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,13709.0,27413.0,17986.0,27418.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,27418.0,10276.0,27418.0,300.0,26520.0,27389.0,25786.0,27418.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,27418.0,27418.0,1876.0,12772.0,11430.0,4399.0,26676.0,27418.0,10477.0,27418.0,20225.0
Background,27413.0,13704.0,17984.0,27413.0,8607.0,12460.0,11670.0,20200.0,1411.0,431.0,10878.0,3302.0,8446.0,23931.0,22140.0,571.0,13811.0,13698.0,9789.0,27413.0,10275.0,27413.0,300.0,26515.0,27384.0,25781.0,27413.0,5679.0,2425.0,15314.0,4063.0,2795.0,1554.0,27413.0,27413.0,1876.0,12769.0,11429.0,4399.0,26671.0,27413.0,10473.0,27413.0,20220.0
Beta catenin,17986.0,17984.0,6171.0,17986.0,5897.0,8223.0,7793.0,13357.0,910.0,243.0,7265.0,2143.0,5720.0,15678.0,14619.0,411.0,9526.0,9008.0,6515.0,17986.0,7122.0,17986.0,200.0,17418.0,17967.0,17047.0,17986.0,3910.0,1702.0,10518.0,2783.0,1985.0,1078.0,17986.0,17986.0,1268.0,8815.0,7895.0,3045.0,17591.0,17986.0,6895.0,17986.0,13196.0
Ca,27418.0,27413.0,17986.0,13709.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,27418.0,10276.0,27418.0,300.0,26520.0,27389.0,25786.0,27418.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,27418.0,27418.0,1876.0,12772.0,11430.0,4399.0,26676.0,27418.0,10477.0,27418.0,20225.0
CD11b,8609.0,8607.0,5897.0,8609.0,1549.0,4119.0,3916.0,6603.0,389.0,98.0,3551.0,1100.0,2947.0,7573.0,7117.0,224.0,4808.0,4594.0,3103.0,8609.0,3393.0,8609.0,98.0,8398.0,8602.0,8218.0,8609.0,2003.0,799.0,4991.0,1424.0,1002.0,546.0,8609.0,8609.0,588.0,4166.0,4080.0,1513.0,8427.0,8609.0,3347.0,8609.0,6381.0
CD11c,12463.0,12460.0,8223.0,12463.0,4119.0,3026.0,5625.0,9398.0,587.0,190.0,5057.0,1602.0,4140.0,11002.0,10231.0,286.0,6565.0,6487.0,4404.0,12463.0,4523.0,12463.0,146.0,12147.0,12448.0,11741.0,12463.0,2839.0,1083.0,6849.0,1877.0,1284.0,692.0,12463.0,12463.0,828.0,5594.0,5507.0,2082.0,12140.0,12463.0,5087.0,12463.0,9398.0
CD138,11671.0,11670.0,7793.0,11671.0,3916.0,5625.0,2778.0,8792.0,528.0,206.0,4859.0,1457.0,3900.0,10310.0,9713.0,281.0,6263.0,6021.0,4161.0,11671.0,4293.0,11671.0,134.0,11376.0,11660.0,11061.0,11671.0,2658.0,1100.0,6526.0,1739.0,1258.0,663.0,11671.0,11671.0,805.0,5277.0,5181.0,1982.0,11408.0,11671.0,4799.0,11671.0,8817.0
CD16,20205.0,20200.0,13357.0,20205.0,6603.0,9398.0,8792.0,7573.0,989.0,302.0,8074.0,2502.0,6488.0,17720.0,16456.0,453.0,10464.0,10367.0,7159.0,20205.0,7528.0,20205.0,230.0,19602.0,20185.0,19053.0,20205.0,4420.0,1811.0,11318.0,3067.0,2108.0,1200.0,20205.0,20205.0,1382.0,9366.0,8720.0,3312.0,19708.0,20205.0,7869.0,20205.0,15064.0
CD20,1411.0,1411.0,910.0,1411.0,389.0,587.0,528.0,989.0,54.0,24.0,531.0,160.0,381.0,1228.0,1109.0,37.0,661.0,651.0,510.0,1411.0,544.0,1411.0,14.0,1363.0,1410.0,1296.0,1411.0,247.0,126.0,804.0,214.0,132.0,75.0,1411.0,1411.0,105.0,672.0,526.0,214.0,1353.0,1411.0,506.0,1411.0,1006.0
CD209,431.0,431.0,243.0,431.0,98.0,190.0,206.0,302.0,24.0,7.0,172.0,48.0,113.0,375.0,331.0,10.0,187.0,186.0,133.0,431.0,114.0,431.0,10.0,415.0,430.0,385.0,431.0,74.0,36.0,181.0,43.0,33.0,19.0,431.0,431.0,27.0,138.0,134.0,55.0,400.0,431.0,188.0,431.0,329.0
CD3,10882.0,10878.0,7265.0,10882.0,3551.0,5057.0,4859.0,8074.0,531.0,172.0,2230.0,1343.0,3505.0,9551.0,8912.0,235.0,5724.0,5523.0,3873.0,10882.0,4052.0,10882.0,134.0,10578.0,10870.0,10245.0,10882.0,2386.0,994.0,6155.0,1658.0,1117.0,622.0,10882.0,10882.0,721.0,5073.0,4743.0,1861.0,10585.0,10882.0,4327.0,10882.0,8114.0
CD31,3303.0,3302.0,2143.0,3303.0,1100.0,1602.0,1457.0,2502.0,160.0,48.0,1343.0,236.0,1104.0,2937.0,2714.0,84.0,1736.0,1714.0,1169.0,3303.0,1173.0,3303.0,43.0,3211.0,3300.0,3111.0,3303.0,745.0,290.0,1799.0,505.0,349.0,185.0,3303.0,3303.0,211.0,1459.0,1435.0,580.0,3227.0,3303.0,1326.0,3303.0,2508.0
CD4,8448.0,8446.0,5720.0,8448.0,2947.0,4140.0,3900.0,6488.0,381.0,113.0,3505.0,1104.0,1488.0,7437.0,6997.0,214.0,4635.0,4502.0,2958.0,8448.0,3105.0,8448.0,91.0,8259.0,8440.0,8005.0,8448.0,2020.0,768.0,4742.0,1340.0,928.0,540.0,8448.0,8448.0,577.0,3869.0,3872.0,1478.0,8239.0,8448.0,3532.0,8448.0,6432.0
CD45,23936.0,23931.0,15678.0,23936.0,7573.0,11002.0,10310.0,17720.0,1228.0,375.0,9551.0,2937.0,7437.0,10496.0,19417.0,507.0,12089.0,12071.0,8518.0,23936.0,8821.0,23936.0,277.0,23197.0,23914.0,22486.0,23936.0,5047.0,2104.0,13251.0,3568.0,2450.0,1352.0,23936.0,23936.0,1611.0,10987.0,10038.0,3889.0,23274.0,23936.0,9284.0,23936.0,17788.0
CD45RO,22145.0,22140.0,14619.0,22145.0,7117.0,10231.0,9713.0,16456.0,1109.0,331.0,8912.0,2714.0,6997.0,19417.0,9058.0,470.0,11398.0,11249.0,7926.0,22145.0,8281.0,22145.0,257.0,21503.0,22123.0,20862.0,22145.0,4775.0,1986.0,12386.0,3375.0,2302.0,1279.0,22145.0,22145.0,1518.0,10267.0,9469.0,3668.0,21572.0,22145.0,8616.0,22145.0,16466.0
CD56,571.0,571.0,411.0,571.0,224.0,286.0,281.0,453.0,37.0,10.0,235.0,84.0,214.0,507.0,470.0,18.0,351.0,301.0,192.0,571.0,220.0,571.0,3.0,555.0,571.0,552.0,571.0,151.0,52.0,341.0,98.0,68.0,39.0,571.0,571.0,43.0,275.0,267.0,105.0,558.0,571.0,247.0,571.0,425.0
CD63,13812.0,13811.0,9526.0,13812.0,4808.0,6565.0,6263.0,10464.0,661.0,187.0,5724.0,1736.0,4635.0,12089.0,11398.0,351.0,3906.0,7204.0,4931.0,13812.0,5500.0,13812.0,161.0,13468.0,13800.0,13132.0,13812.0,3206.0,1345.0,8121.0,2219.0,1563.0,835.0,13812.0,13812.0,985.0,6703.0,6455.0,2423.0,13515.0,13812.0,5490.0,13812.0,10235.0
CD68,13701.0,13698.0,9008.0,13701.0,4594.0,6487.0,6021.0,10367.0,651.0,186.0,5523.0,1714.0,4502.0,12071.0,11249.0,301.0,7204.0,3595.0,4853.0,13701.0,5037.0,13701.0,149.0,13330.0,13690.0,12942.0,13701.0,3049.0,1212.0,7624.0,2102.0,1424.0,863.0,13701.0,13701.0,924.0,6269.0,6000.0,2261.0,13358.0,13701.0,5409.0,13701.0,10273.0
CD8,9790.0,9789.0,6515.0,9790.0,3103.0,4404.0,4161.0,7159.0,510.0,133.0,3873.0,1169.0,2958.0,8518.0,7926.0,192.0,4931.0,4853.0,1785.0,9790.0,3777.0,9790.0,112.0,9487.0,9779.0,9193.0,9790.0,2000.0,912.0,5606.0,1507.0,1033.0,532.0,9790.0,9790.0,651.0,4667.0,4103.0,1618.0,9507.0,9790.0,3715.0,9790.0,7152.0
dsDNA,27418.0,27413.0,17986.0,27418.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,13709.0,10276.0,27418.0,300.0,26520.0,27389.0,25786.0,27418.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,27418.0,27418.0,1876.0,12772.0,11430.0,4399.0,26676.0,27418.0,10477.0,27418.0,20225.0
EGFR,10276.0,10275.0,7122.0,10276.0,3393.0,4523.0,4293.0,7528.0,544.0,114.0,4052.0,1173.0,3105.0,8821.0,8281.0,220.0,5500.0,5037.0,3777.0,10276.0,2205.0,10276.0,106.0,9927.0,10264.0,9792.0,10276.0,2159.0,1016.0,6289.0,1599.0,1214.0,638.0,10276.0,10276.0,723.0,5362.0,4471.0,1686.0,10070.0,10276.0,3708.0,10276.0,7338.0
Fe,27418.0,27413.0,17986.0,27418.0,8609.0,12463.0,11671.0,20205.0,1411.0,431.0,10882.0,3303.0,8448.0,23936.0,22145.0,571.0,13812.0,13701.0,9790.0,27418.0,10276.0,13709.0,300.0,26520.0,27389.0,25786.0,27418.0,5679.0,2425.0,15316.0,4064.0,2795.0,1554.0,27418.0,27418.0,1876.0,12772.0,11430.0,4399.0,26676.0,27418.0,10477.0,27418.0,20225.0
FoxP3,300.0,300.0,200.0,300.0,98.0,146.0,134.0,230.0,14.0,10.0,134.0,43.0,91.0,277.0,257.0,3.0,161.0,149.0,112.0,300.0,106.0,300.0,4.0,293.0,298.0,284.0,300.0,67.0,38.0,155.0,54.0,30.0,17.0,300.0,300.0,19.0,129.0,130.0,44.0,295.0,300.0,138.0,300.0,234.0
