,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,17960.0,35920.0,22936.0,35920.0,3105.0,5651.0,864.0,15078.0,2172.0,291.0,8419.0,3288.0,4117.0,20232.0,13053.0,0.0,817.0,8621.0,5231.0,35920.0,3816.0,35920.0,17.0,35914.0,35427.0,17930.0,35670.0,3022.0,19905.0,21637.0,316.0,290.0,291.0,35920.0,35920.0,4569.0,12041.0,1441.0,770.0,25207.0,35920.0,4365.0,35902.0,17438.0
Background,35920.0,17960.0,22936.0,35920.0,3105.0,5651.0,864.0,15078.0,2172.0,291.0,8419.0,3288.0,4117.0,20232.0,13053.0,0.0,817.0,8621.0,5231.0,35920.0,3816.0,35920.0,17.0,35914.0,35427.0,17930.0,35670.0,3022.0,19905.0,21637.0,316.0,290.0,291.0,35920.0,35920.0,4569.0,12041.0,1441.0,770.0,25207.0,35920.0,4365.0,35902.0,17438.0
Beta catenin,22936.0,22936.0,7716.0,22936.0,1740.0,3184.0,572.0,8973.0,1275.0,178.0,4851.0,1872.0,2378.0,12241.0,7582.0,0.0,494.0,5084.0,3171.0,22936.0,2614.0,22936.0,13.0,22933.0,22609.0,10647.0,22738.0,1742.0,13538.0,14638.0,213.0,172.0,189.0,22936.0,22936.0,3159.0,8113.0,813.0,448.0,15981.0,22936.0,2622.0,22929.0,10506.0
Ca,35920.0,35920.0,22936.0,17960.0,3105.0,5651.0,864.0,15078.0,2172.0,291.0,8419.0,3288.0,4117.0,20232.0,13053.0,0.0,817.0,8621.0,5231.0,35920.0,3816.0,35920.0,17.0,35914.0,35427.0,17930.0,35670.0,3022.0,19905.0,21637.0,316.0,290.0,291.0,35920.0,35920.0,4569.0,12041.0,1441.0,770.0,25207.0,35920.0,4365.0,35902.0,17438.0
CD11b,3105.0,3105.0,1740.0,3105.0,238.0,794.0,68.0,1631.0,287.0,30.0,1047.0,399.0,554.0,2094.0,1578.0,0.0,114.0,1032.0,560.0,3105.0,348.0,3105.0,2.0,3105.0,3093.0,1954.0,3105.0,432.0,1400.0,1570.0,35.0,41.0,36.0,3105.0,3105.0,416.0,1086.0,233.0,110.0,2546.0,3105.0,418.0,3105.0,1820.0
CD11c,5651.0,5651.0,3184.0,5651.0,794.0,766.0,137.0,2966.0,542.0,49.0,1912.0,714.0,969.0,3789.0,2830.0,0.0,206.0,1897.0,1065.0,5651.0,657.0,5651.0,3.0,5650.0,5615.0,3527.0,5644.0,728.0,2587.0,2885.0,61.0,69.0,62.0,5651.0,5651.0,747.0,1867.0,404.0,182.0,4392.0,5651.0,685.0,5648.0,3254.0
CD138,864.0,864.0,572.0,864.0,68.0,137.0,23.0,385.0,59.0,7.0,220.0,115.0,112.0,516.0,332.0,0.0,19.0,235.0,123.0,864.0,146.0,864.0,0.0,863.0,857.0,447.0,864.0,56.0,465.0,517.0,12.0,7.0,4.0,864.0,864.0,130.0,377.0,24.0,19.0,690.0,864.0,133.0,864.0,446.0
CD16,15078.0,15078.0,8973.0,15078.0,1631.0,2966.0,385.0,3622.0,1095.0,134.0,4246.0,1661.0,2111.0,9397.0,6525.0,0.0,406.0,4290.0,2470.0,15078.0,1619.0,15078.0,4.0,15075.0,14934.0,8583.0,15038.0,1503.0,7459.0,8221.0,134.0,139.0,143.0,15078.0,15078.0,1868.0,5024.0,727.0,390.0,11181.0,15078.0,2092.0,15074.0,8243.0
CD20,2172.0,2172.0,1275.0,2172.0,287.0,542.0,59.0,1095.0,118.0,21.0,767.0,263.0,402.0,1432.0,1102.0,0.0,71.0,705.0,402.0,2172.0,282.0,2172.0,2.0,2172.0,2163.0,1303.0,2169.0,259.0,1025.0,1142.0,26.0,18.0,24.0,2172.0,2172.0,282.0,814.0,125.0,69.0,1743.0,2172.0,273.0,2171.0,1252.0
CD209,291.0,291.0,178.0,291.0,30.0,49.0,7.0,134.0,21.0,4.0,85.0,28.0,46.0,182.0,114.0,0.0,6.0,65.0,49.0,291.0,28.0,291.0,0.0,291.0,287.0,159.0,289.0,26.0,148.0,167.0,7.0,4.0,4.0,291.0,291.0,35.0,102.0,7.0,8.0,223.0,291.0,36.0,291.0,154.0
