,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
CD3,8419.0,8419.0,4851.0,8419.0,1047.0,1912.0,220.0,4246.0,767.0,85.0,1394.0,944.0,1453.0,5543.0,4132.0,0.0,249.0,2532.0,1575.0,8419.0,960.0,8419.0,3.0,8419.0,8364.0,5130.0,8411.0,919.0,3916.0,4347.0,74.0,87.0,86.0,8419.0,8419.0,1078.0,2961.0,497.0,269.0,6611.0,8419.0,1189.0,8414.0,4907.0
CD31,3288.0,3288.0,1872.0,3288.0,399.0,714.0,115.0,1661.0,263.0,28.0,944.0,237.0,456.0,2186.0,1497.0,0.0,97.0,1058.0,591.0,3288.0,334.0,3288.0,1.0,3287.0,3260.0,1950.0,3283.0,328.0,1496.0,1668.0,28.0,30.0,24.0,3288.0,3288.0,435.0,1067.0,156.0,83.0,2534.0,3288.0,521.0,3285.0,1910.0
CD4,4117.0,4117.0,2378.0,4117.0,554.0,969.0,112.0,2111.0,402.0,46.0,1453.0,456.0,404.0,2716.0,2090.0,0.0,120.0,1272.0,785.0,4117.0,514.0,4117.0,3.0,4117.0,4098.0,2545.0,4117.0,456.0,1897.0,2114.0,35.0,48.0,43.0,4117.0,4117.0,523.0,1516.0,252.0,142.0,3278.0,4117.0,610.0,4116.0,2385.0
CD45,20232.0,20232.0,12241.0,20232.0,2094.0,3789.0,516.0,9397.0,1432.0,182.0,5543.0,2186.0,2716.0,6210.0,8514.0,0.0,538.0,5534.0,3256.0,20232.0,2155.0,20232.0,9.0,20229.0,20005.0,11258.0,20170.0,2002.0,10278.0,11285.0,183.0,200.0,193.0,20232.0,20232.0,2546.0,6807.0,953.0,495.0,14959.0,20232.0,2738.0,20222.0,10797.0
CD45RO,13053.0,13053.0,7582.0,13053.0,1578.0,2830.0,332.0,6525.0,1102.0,114.0,4132.0,1497.0,2090.0,8514.0,3086.0,0.0,394.0,3918.0,2339.0,13053.0,1504.0,13053.0,6.0,13050.0,12953.0,7818.0,13037.0,1453.0,6204.0,6872.0,124.0,132.0,133.0,13053.0,13053.0,1662.0,4479.0,727.0,374.0,10081.0,13053.0,1823.0,13046.0,7433.0
CD56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD63,817.0,817.0,494.0,817.0,114.0,206.0,19.0,406.0,71.0,6.0,249.0,97.0,120.0,538.0,394.0,0.0,19.0,258.0,149.0,817.0,106.0,817.0,2.0,817.0,810.0,505.0,817.0,117.0,402.0,440.0,8.0,7.0,7.0,817.0,817.0,139.0,292.0,67.0,30.0,673.0,817.0,97.0,817.0,458.0
CD68,8621.0,8621.0,5084.0,8621.0,1032.0,1897.0,235.0,4290.0,705.0,65.0,2532.0,1058.0,1272.0,5534.0,3918.0,0.0,258.0,1316.0,1494.0,8621.0,1019.0,8621.0,4.0,8619.0,8550.0,5050.0,8613.0,988.0,4183.0,4611.0,96.0,86.0,88.0,8621.0,8621.0,1113.0,2980.0,490.0,239.0,6652.0,8621.0,1163.0,8616.0,4846.0
CD8,5231.0,5231.0,3171.0,5231.0,560.0,1065.0,123.0,2470.0,402.0,49.0,1575.0,591.0,785.0,3256.0,2339.0,0.0,149.0,1494.0,514.0,5231.0,616.0,5231.0,5.0,5231.0,5184.0,2983.0,5218.0,523.0,2638.0,2892.0,55.0,48.0,55.0,5231.0,5231.0,716.0,1845.0,298.0,162.0,4006.0,5231.0,678.0,5228.0,2823.0
dsDNA,35920.0,35920.0,22936.0,35920.0,3105.0,5651.0,864.0,15078.0,2172.0,291.0,8419.0,3288.0,4117.0,20232.0,13053.0,0.0,817.0,8621.0,5231.0,17960.0,3816.0,35920.0,17.0,35914.0,35427.0,17930.0,35670.0,3022.0,19905.0,21637.0,316.0,290.0,291.0,35920.0,35920.0,4569.0,12041.0,1441.0,770.0,25207.0,35920.0,4365.0,35902.0,17438.0
EGFR,3816.0,3816.0,2614.0,3816.0,348.0,657.0,146.0,1619.0,282.0,28.0,960.0,334.0,514.0,2155.0,1504.0,0.0,106.0,1019.0,616.0,3816.0,380.0,3816.0,1.0,3814.0,3791.0,1918.0,3815.0,311.0,2227.0,2417.0,54.0,37.0,46.0,3816.0,3816.0,666.0,1707.0,161.0,89.0,3089.0,3816.0,493.0,3814.0,1908.0
Fe,35920.0,35920.0,22936.0,35920.0,3105.0,5651.0,864.0,15078.0,2172.0,291.0,8419.0,3288.0,4117.0,20232.0,13053.0,0.0,817.0,8621.0,5231.0,35920.0,3816.0,17960.0,17.0,35914.0,35427.0,17930.0,35670.0,3022.0,19905.0,21637.0,316.0,290.0,291.0,35920.0,35920.0,4569.0,12041.0,1441.0,770.0,25207.0,35920.0,4365.0,35902.0,17438.0
FoxP3,17.0,17.0,13.0,17.0,2.0,3.0,0.0,4.0,2.0,0.0,3.0,1.0,3.0,9.0,6.0,0.0,2.0,4.0,5.0,17.0,1.0,17.0,0.0,17.0,17.0,6.0,17.0,2.0,13.0,13.0,0.0,1.0,0.0,17.0,17.0,8.0,8.0,2.0,1.0,15.0,17.0,1.0,17.0,8.0
H3K27me3,35914.0,35914.0,22933.0,35914.0,3105.0,5650.0,863.0,15075.0,2172.0,291.0,8419.0,3287.0,4117.0,20229.0,13050.0,0.0,817.0,8619.0,5231.0,35914.0,3814.0,35914.0,17.0,17954.0,35421.0,17925.0,35664.0,3022.0,19902.0,21634.0,316.0,290.0,291.0,35914.0,35914.0,4567.0,12039.0,1441.0,770.0,25202.0,35914.0,4363.0,35896.0,17435.0
H3K9ac,35427.0,35427.0,22609.0,35427.0,3093.0,5615.0,857.0,14934.0,2163.0,287.0,8364.0,3260.0,4098.0,20005.0,12953.0,0.0,810.0,8550.0,5184.0,35427.0,3791.0,35427.0,17.0,35421.0,17475.0,17755.0,35186.0,3003.0,19577.0,21298.0,314.0,285.0,290.0,35427.0,35427.0,4525.0,11927.0,1438.0,766.0,24951.0,35427.0,4322.0,35409.0,17264.0
HLA-DR,17930.0,17930.0,10647.0,17930.0,1954.0,3527.0,447.0,8583.0,1303.0,159.0,5130.0,1950.0,2545.0,11258.0,7818.0,0.0,505.0,5050.0,2983.0,17930.0,1918.0,17930.0,6.0,17925.0,17755.0,5135.0,17883.0,1858.0,8868.0,9778.0,165.0,185.0,173.0,17930.0,17930.0,2250.0,5979.0,909.0,461.0,13362.0,17930.0,2478.0,17924.0,9794.0
HLA_Class_1,35670.0,35670.0,22738.0,35670.0,3105.0,5644.0,864.0,15038.0,2169.0,289.0,8411.0,3283.0,4117.0,20170.0,13037.0,0.0,817.0,8613.0,5218.0,35670.0,3815.0,35670.0,17.0,35664.0,35186.0,17883.0,17722.0,3018.0,19705.0,21432.0,316.0,290.0,289.0,35670.0,35670.0,4565.0,12017.0,1441.0,770.0,25130.0,35670.0,4363.0,35652.0,17387.0
IDO,3022.0,3022.0,1742.0,3022.0,432.0,728.0,56.0,1503.0,259.0,26.0,919.0,328.0,456.0,2002.0,1453.0,0.0,117.0,988.0,523.0,3022.0,311.0,3022.0,2.0,3022.0,3003.0,1858.0,3018.0,258.0,1438.0,1579.0,28.0,40.0,32.0,3022.0,3022.0,399.0,1022.0,268.0,95.0,2343.0,3022.0,327.0,3021.0,1703.0
Keratin17,19905.0,19905.0,13538.0,19905.0,1400.0,2587.0,465.0,7459.0,1025.0,148.0,3916.0,1496.0,1897.0,10278.0,6204.0,0.0,402.0,4183.0,2638.0,19905.0,2227.0,19905.0,13.0,19902.0,19577.0,8868.0,19705.0,1438.0,6034.0,12991.0,181.0,137.0,154.0,19905.0,19905.0,2695.0,6956.0,680.0,368.0,13521.0,19905.0,2145.0,19901.0,8777.0
Keratin6,21637.0,21637.0,14638.0,21637.0,1570.0,2885.0,517.0,8221.0,1142.0,167.0,4347.0,1668.0,2114.0,11285.0,6872.0,0.0,440.0,4611.0,2892.0,21637.0,2417.0,21637.0,13.0,21634.0,21298.0,9778.0,21432.0,1579.0,12991.0,7009.0,201.0,157.0,170.0,21637.0,21637.0,2929.0,7566.0,759.0,408.0,14774.0,21637.0,2368.0,21630.0,9631.0
Ki67,316.0,316.0,213.0,316.0,35.0,61.0,12.0,134.0,26.0,7.0,74.0,28.0,35.0,183.0,124.0,0.0,8.0,96.0,55.0,316.0,54.0,316.0,0.0,316.0,314.0,165.0,316.0,28.0,181.0,201.0,5.0,2.0,6.0,316.0,316.0,71.0,149.0,19.0,7.0,269.0,316.0,28.0,316.0,163.0
Lag3,290.0,290.0,172.0,290.0,41.0,69.0,7.0,139.0,18.0,4.0,87.0,30.0,48.0,200.0,132.0,0.0,7.0,86.0,48.0,290.0,37.0,290.0,1.0,290.0,285.0,185.0,290.0,40.0,137.0,157.0,2.0,4.0,1.0,290.0,290.0,36.0,99.0,18.0,9.0,233.0,290.0,48.0,290.0,173.0
MPO,291.0,291.0,189.0,291.0,36.0,62.0,4.0,143.0,24.0,4.0,86.0,24.0,43.0,193.0,133.0,0.0,7.0,88.0,55.0,291.0,46.0,291.0,0.0,291.0,290.0,173.0,289.0,32.0,154.0,170.0,6.0,1.0,2.0,291.0,291.0,41.0,108.0,14.0,8.0,227.0,291.0,52.0,291.0,172.0
Na,35920.0,35920.0,22936.0,35920.0,3105.0,5651.0,864.0,15078.0,2172.0,291.0,8419.0,3288.0,4117.0,20232.0,13053.0,0.0,817.0,8621.0,5231.0,35920.0,3816.0,35920.0,17.0,35914.0,35427.0,17930.0,35670.0,3022.0,19905.0,21637.0,316.0,290.0,291.0,17960.0,35920.0,4569.0,12041.0,1441.0,770.0,25207.0,35920.0,4365.0,35902.0,17438.0
P,35920.0,35920.0,22936.0,35920.0,3105.0,5651.0,864.0,15078.0,2172.0,291.0,8419.0,3288.0,4117.0,20232.0,13053.0,0.0,817.0,8621.0,5231.0,35920.0,3816.0,35920.0,17.0,35914.0,35427.0,17930.0,35670.0,3022.0,19905.0,21637.0,316.0,290.0,291.0,35920.0,17960.0,4569.0,12041.0,1441.0,770.0,25207.0,35920.0,4365.0,35902.0,17438.0
p53,4569.0,4569.0,3159.0,4569.0,416.0,747.0,130.0,1868.0,282.0,35.0,1078.0,435.0,523.0,2546.0,1662.0,0.0,139.0,1113.0,716.0,4569.0,666.0,4569.0,8.0,4567.0,4525.0,2250.0,4565.0,399.0,2695.0,2929.0,71.0,36.0,41.0,4569.0,4569.0,459.0,1889.0,236.0,107.0,3557.0,4569.0,501.0,4567.0,2184.0
Pan-Keratin,12041.0,12041.0,8113.0,12041.0,1086.0,1867.0,377.0,5024.0,814.0,102.0,2961.0,1067.0,1516.0,6807.0,4479.0,0.0,292.0,2980.0,1845.0,12041.0,1707.0,12041.0,8.0,12039.0,11927.0,5979.0,12017.0,1022.0,6956.0,7566.0,149.0,99.0,108.0,12041.0,12041.0,1889.0,2487.0,517.0,291.0,9303.0,12041.0,1525.0,12039.0,5970.0
PD-L1,1441.0,1441.0,813.0,1441.0,233.0,404.0,24.0,727.0,125.0,7.0,497.0,156.0,252.0,953.0,727.0,0.0,67.0,490.0,298.0,1441.0,161.0,1441.0,2.0,1441.0,1438.0,909.0,1441.0,268.0,680.0,759.0,19.0,18.0,14.0,1441.0,1441.0,236.0,517.0,83.0,49.0,1181.0,1441.0,135.0,1441.0,822.0
PD1,770.0,770.0,448.0,770.0,110.0,182.0,19.0,390.0,69.0,8.0,269.0,83.0,142.0,495.0,374.0,0.0,30.0,239.0,162.0,770.0,89.0,770.0,1.0,770.0,766.0,461.0,770.0,95.0,368.0,408.0,7.0,9.0,8.0,770.0,770.0,107.0,291.0,49.0,19.0,612.0,770.0,93.0,770.0,433.0
phospho-S6,25207.0,25207.0,15981.0,25207.0,2546.0,4392.0,690.0,11181.0,1743.0,223.0,6611.0,2534.0,3278.0,14959.0,10081.0,0.0,673.0,6652.0,4006.0,25207.0,3089.0,25207.0,15.0,25202.0,24951.0,13362.0,25130.0,2343.0,13521.0,14774.0,269.0,233.0,227.0,25207.0,25207.0,3557.0,9303.0,1181.0,612.0,9523.0,25207.0,3288.0,25196.0,13028.0
Si,35920.0,35920.0,22936.0,35920.0,3105.0,5651.0,864.0,15078.0,2172.0,291.0,8419.0,3288.0,4117.0,20232.0,13053.0,0.0,817.0,8621.0,5231.0,35920.0,3816.0,35920.0,17.0,35914.0,35427.0,17930.0,35670.0,3022.0,19905.0,21637.0,316.0,290.0,291.0,35920.0,35920.0,4569.0,12041.0,1441.0,770.0,25207.0,17960.0,4365.0,35902.0,17438.0
SMA,4365.0,4365.0,2622.0,4365.0,418.0,685.0,133.0,2092.0,273.0,36.0,1189.0,521.0,610.0,2738.0,1823.0,0.0,97.0,1163.0,678.0,4365.0,493.0,4365.0,1.0,4363.0,4322.0,2478.0,4363.0,327.0,2145.0,2368.0,28.0,48.0,52.0,4365.0,4365.0,501.0,1525.0,135.0,93.0,3288.0,4365.0,425.0,4362.0,2532.0
Ta,35902.0,35902.0,22929.0,35902.0,3105.0,5648.0,864.0,15074.0,2171.0,291.0,8414.0,3285.0,4116.0,20222.0,13046.0,0.0,817.0,8616.0,5228.0,35902.0,3814.0,35902.0,17.0,35896.0,35409.0,17924.0,35652.0,3021.0,19901.0,21630.0,316.0,290.0,291.0,35902.0,35902.0,4567.0,12039.0,1441.0,770.0,25196.0,35902.0,4362.0,17942.0,17427.0
Vimentin,17438.0,17438.0,10506.0,17438.0,1820.0,3254.0,446.0,8243.0,1252.0,154.0,4907.0,1910.0,2385.0,10797.0,7433.0,0.0,458.0,4846.0,2823.0,17438.0,1908.0,17438.0,8.0,17435.0,17264.0,9794.0,17387.0,1703.0,8777.0,9631.0,163.0,173.0,172.0,17438.0,17438.0,2184.0,5970.0,822.0,433.0,13028.0,17438.0,2532.0,17427.0,4786.0
