,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,24586.0,49144.0,26999.0,49172.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,49172.0,7020.0,49172.0,436.0,49172.0,49135.0,35863.0,49172.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,49172.0,49172.0,11509.0,11435.0,3032.0,1400.0,48795.0,49172.0,9400.0,49166.0,37828.0
Background,49144.0,24558.0,26989.0,49144.0,4909.0,18812.0,3122.0,5342.0,4704.0,9906.0,39895.0,9780.0,37975.0,43570.0,38470.0,3199.0,5737.0,21405.0,37222.0,49144.0,7017.0,49144.0,435.0,49144.0,49107.0,35838.0,49144.0,6022.0,1640.0,36906.0,5117.0,291.0,3061.0,49144.0,49144.0,11506.0,11433.0,3030.0,1396.0,48767.0,49144.0,9393.0,49138.0,37804.0
Beta catenin,26999.0,26989.0,8264.0,26999.0,2722.0,9908.0,2161.0,3244.0,2199.0,5573.0,20929.0,5767.0,19645.0,23180.0,20429.0,1458.0,3711.0,11594.0,19562.0,26999.0,4961.0,26999.0,238.0,26999.0,26979.0,18885.0,26999.0,2943.0,1169.0,21126.0,3380.0,158.0,1784.0,26999.0,26999.0,7646.0,7586.0,1885.0,710.0,26797.0,26999.0,6087.0,26995.0,20032.0
Ca,49172.0,49144.0,26999.0,24586.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,49172.0,7020.0,49172.0,436.0,49172.0,49135.0,35863.0,49172.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,49172.0,49172.0,11509.0,11435.0,3032.0,1400.0,48795.0,49172.0,9400.0,49166.0,37828.0
CD11b,4912.0,4909.0,2722.0,4912.0,348.0,1982.0,341.0,559.0,475.0,1083.0,4111.0,1050.0,3901.0,4430.0,4012.0,334.0,652.0,2213.0,3865.0,4912.0,675.0,4912.0,50.0,4912.0,4909.0,3728.0,4912.0,703.0,139.0,3829.0,506.0,34.0,316.0,4912.0,4912.0,1009.0,1037.0,359.0,138.0,4877.0,4912.0,1022.0,4910.0,3940.0
CD11c,18822.0,18812.0,9908.0,18822.0,1982.0,3950.0,1062.0,1948.0,1760.0,3824.0,15681.0,3736.0,15135.0,17037.0,15050.0,1382.0,2032.0,8593.0,14685.0,18822.0,2268.0,18822.0,188.0,18822.0,18809.0,14305.0,18822.0,2588.0,478.0,13722.0,1713.0,123.0,1220.0,18822.0,18822.0,3843.0,3874.0,1125.0,571.0,18690.0,18822.0,3380.0,18820.0,14762.0
CD138,3123.0,3122.0,2161.0,3123.0,341.0,1062.0,197.0,466.0,216.0,714.0,2237.0,727.0,2050.0,2548.0,2265.0,135.0,565.0,1285.0,2106.0,3123.0,805.0,3123.0,27.0,3123.0,3118.0,2008.0,3123.0,268.0,203.0,2662.0,529.0,12.0,238.0,3123.0,3123.0,1149.0,1147.0,259.0,69.0,3106.0,3123.0,866.0,3122.0,2199.0
CD16,5344.0,5342.0,3244.0,5344.0,559.0,1948.0,466.0,390.0,411.0,1141.0,4148.0,1139.0,3923.0,4585.0,4090.0,294.0,755.0,2254.0,3930.0,5344.0,1006.0,5344.0,35.0,5344.0,5337.0,3648.0,5344.0,552.0,260.0,4261.0,691.0,28.0,348.0,5344.0,5344.0,1521.0,1480.0,385.0,143.0,5305.0,5344.0,1237.0,5343.0,3972.0
CD20,4706.0,4704.0,2199.0,4706.0,475.0,1760.0,216.0,411.0,471.0,883.0,4016.0,754.0,3884.0,4305.0,3868.0,334.0,454.0,1886.0,3611.0,4706.0,486.0,4706.0,53.0,4706.0,4704.0,3584.0,4706.0,608.0,96.0,3320.0,412.0,24.0,239.0,4706.0,4706.0,814.0,831.0,285.0,155.0,4670.0,4706.0,725.0,4706.0,3792.0
CD209,9914.0,9906.0,5573.0,9914.0,1083.0,3824.0,714.0,1141.0,883.0,1181.0,8255.0,2217.0,7873.0,8956.0,7996.0,582.0,1334.0,4553.0,7792.0,9914.0,1499.0,9914.0,86.0,9914.0,9909.0,7408.0,9914.0,1192.0,300.0,7666.0,1046.0,59.0,612.0,9914.0,9914.0,2148.0,2196.0,708.0,302.0,9860.0,9914.0,2173.0,9912.0,7917.0
CD3,39920.0,39895.0,20929.0,39920.0,4111.0,15681.0,2237.0,4148.0,4016.0,8255.0,16781.0,7961.0,32057.0,36209.0,32195.0,2751.0,4554.0,17725.0,31417.0,39920.0,4907.0,39920.0,366.0,39920.0,39894.0,29951.0,39920.0,5174.0,1045.0,29783.0,3692.0,255.0,2466.0,39920.0,39920.0,8119.0,8135.0,2388.0,1210.0,39626.0,39920.0,7376.0,39914.0,31722.0
CD31,9783.0,9780.0,5767.0,9783.0,1050.0,3736.0,727.0,1139.0,754.0,2217.0,7961.0,1266.0,7516.0,8721.0,7712.0,566.0,1448.0,4470.0,7463.0,9783.0,1521.0,9783.0,75.0,9783.0,9775.0,7176.0,9783.0,1091.0,306.0,7602.0,1124.0,58.0,715.0,9783.0,9783.0,2301.0,2258.0,700.0,264.0,9728.0,9783.0,2220.0,9781.0,7695.0
CD4,38000.0,37975.0,19645.0,38000.0,3901.0,15135.0,2050.0,3923.0,3884.0,7873.0,32057.0,7516.0,15431.0,34622.0,30690.0,2709.0,4206.0,17094.0,29959.0,38000.0,4457.0,38000.0,348.0,38000.0,37974.0,28798.0,38000.0,5003.0,974.0,28158.0,3388.0,245.0,2345.0,38000.0,38000.0,7417.0,7473.0,2221.0,1135.0,37719.0,38000.0,6812.0,37994.0,30295.0
CD45,43597.0,43570.0,23180.0,43597.0,4430.0,17037.0,2548.0,4585.0,4305.0,8956.0,36209.0,8721.0,34622.0,19633.0,34739.0,2971.0,5014.0,19337.0,33806.0,43597.0,5625.0,43597.0,393.0,43597.0,43568.0,32508.0,43597.0,5533.0,1262.0,32463.0,4196.0,274.0,2734.0,43597.0,43597.0,9267.0,9255.0,2637.0,1280.0,43281.0,43597.0,8130.0,43591.0,34246.0
