,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
CD45RO,38492.0,38470.0,20429.0,38492.0,4012.0,15050.0,2265.0,4090.0,3868.0,7996.0,32195.0,7712.0,30690.0,34739.0,15535.0,2608.0,4504.0,16930.0,30149.0,38492.0,4982.0,38492.0,358.0,38492.0,38465.0,28709.0,38492.0,4911.0,1080.0,28921.0,3730.0,236.0,2417.0,38492.0,38492.0,8125.0,8155.0,2341.0,1153.0,38228.0,38492.0,7253.0,38486.0,30469.0
CD56,3200.0,3199.0,1458.0,3200.0,334.0,1382.0,135.0,294.0,334.0,582.0,2751.0,566.0,2709.0,2971.0,2608.0,160.0,291.0,1452.0,2593.0,3200.0,274.0,3200.0,32.0,3200.0,3195.0,2526.0,3200.0,498.0,68.0,2243.0,232.0,23.0,223.0,3200.0,3200.0,506.0,517.0,149.0,95.0,3166.0,3200.0,382.0,3200.0,2568.0
CD63,5741.0,5737.0,3711.0,5741.0,652.0,2032.0,565.0,755.0,454.0,1334.0,4554.0,1448.0,4206.0,5014.0,4504.0,291.0,537.0,2518.0,4293.0,5741.0,1201.0,5741.0,47.0,5741.0,5732.0,4059.0,5741.0,529.0,245.0,4725.0,784.0,36.0,463.0,5741.0,5741.0,1631.0,1670.0,440.0,145.0,5710.0,5741.0,1499.0,5741.0,4418.0
CD68,21422.0,21405.0,11594.0,21422.0,2213.0,8593.0,1285.0,2254.0,1886.0,4553.0,17725.0,4470.0,17094.0,19337.0,16930.0,1452.0,2518.0,5107.0,16593.0,21422.0,2789.0,21422.0,187.0,21422.0,21408.0,16224.0,21422.0,2671.0,588.0,15837.0,2077.0,132.0,1363.0,21422.0,21422.0,4500.0,4553.0,1343.0,614.0,21260.0,21422.0,4149.0,21420.0,16784.0
CD8,37245.0,37222.0,19562.0,37245.0,3865.0,14685.0,2106.0,3930.0,3611.0,7792.0,31417.0,7463.0,29959.0,33806.0,30149.0,2593.0,4293.0,16593.0,14780.0,37245.0,4616.0,37245.0,330.0,37245.0,37221.0,27911.0,37245.0,4847.0,951.0,27978.0,3453.0,246.0,2308.0,37245.0,37245.0,7568.0,7580.0,2251.0,1145.0,36986.0,37245.0,6979.0,37239.0,29670.0
dsDNA,49172.0,49144.0,26999.0,49172.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,24586.0,7020.0,49172.0,436.0,49172.0,49135.0,35863.0,49172.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,49172.0,49172.0,11509.0,11435.0,3032.0,1400.0,48795.0,49172.0,9400.0,49166.0,37828.0
EGFR,7020.0,7017.0,4961.0,7020.0,675.0,2268.0,805.0,1006.0,486.0,1499.0,4907.0,1521.0,4457.0,5625.0,4982.0,274.0,1201.0,2789.0,4616.0,7020.0,955.0,7020.0,53.0,7020.0,7012.0,4424.0,7020.0,567.0,457.0,5874.0,1195.0,32.0,502.0,7020.0,7020.0,2700.0,2694.0,569.0,152.0,6973.0,7020.0,1913.0,7020.0,4798.0
Fe,49172.0,49144.0,26999.0,49172.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,49172.0,7020.0,24586.0,436.0,49172.0,49135.0,35863.0,49172.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,49172.0,49172.0,11509.0,11435.0,3032.0,1400.0,48795.0,49172.0,9400.0,49166.0,37828.0
FoxP3,436.0,435.0,238.0,436.0,50.0,188.0,27.0,35.0,53.0,86.0,366.0,75.0,348.0,393.0,358.0,32.0,47.0,187.0,330.0,436.0,53.0,436.0,6.0,436.0,435.0,341.0,436.0,71.0,12.0,317.0,51.0,3.0,33.0,436.0,436.0,103.0,97.0,28.0,12.0,434.0,436.0,73.0,436.0,346.0
H3K27me3,49172.0,49144.0,26999.0,49172.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,49172.0,7020.0,49172.0,436.0,24586.0,49135.0,35863.0,49172.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,49172.0,49172.0,11509.0,11435.0,3032.0,1400.0,48795.0,49172.0,9400.0,49166.0,37828.0
H3K9ac,49135.0,49107.0,26979.0,49135.0,4909.0,18809.0,3118.0,5337.0,4704.0,9909.0,39894.0,9775.0,37974.0,43568.0,38465.0,3195.0,5732.0,21408.0,37221.0,49135.0,7012.0,49135.0,435.0,49135.0,24549.0,35842.0,49135.0,6021.0,1638.0,36898.0,5114.0,291.0,3059.0,49135.0,49135.0,11495.0,11424.0,3031.0,1400.0,48758.0,49135.0,9394.0,49129.0,37802.0
HLA-DR,35863.0,35838.0,18885.0,35863.0,3728.0,14305.0,2008.0,3648.0,3584.0,7408.0,29951.0,7176.0,28798.0,32508.0,28709.0,2526.0,4059.0,16224.0,27911.0,35863.0,4424.0,35863.0,341.0,35863.0,35842.0,13656.0,35863.0,4730.0,946.0,26468.0,3292.0,244.0,2312.0,35863.0,35863.0,7228.0,7298.0,2138.0,1062.0,35604.0,35863.0,6518.0,35857.0,28310.0
HLA_Class_1,49172.0,49144.0,26999.0,49172.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,49172.0,7020.0,49172.0,436.0,49172.0,49135.0,35863.0,24586.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,49172.0,49172.0,11509.0,11435.0,3032.0,1400.0,48795.0,49172.0,9400.0,49166.0,37828.0
IDO,6025.0,6022.0,2943.0,6025.0,703.0,2588.0,268.0,552.0,608.0,1192.0,5174.0,1091.0,5003.0,5533.0,4911.0,498.0,529.0,2671.0,4847.0,6025.0,567.0,6025.0,71.0,6025.0,6021.0,4730.0,6025.0,560.0,115.0,4423.0,411.0,53.0,338.0,6025.0,6025.0,1037.0,1069.0,356.0,189.0,5983.0,6025.0,836.0,6022.0,4815.0
Keratin17,1640.0,1640.0,1169.0,1640.0,139.0,478.0,203.0,260.0,96.0,300.0,1045.0,306.0,974.0,1262.0,1080.0,68.0,245.0,588.0,951.0,1640.0,457.0,1640.0,12.0,1640.0,1638.0,946.0,1640.0,115.0,75.0,1367.0,298.0,4.0,109.0,1640.0,1640.0,688.0,685.0,118.0,25.0,1622.0,1640.0,397.0,1640.0,1020.0
Keratin6,36928.0,36906.0,21126.0,36928.0,3829.0,13722.0,2662.0,4261.0,3320.0,7666.0,29783.0,7602.0,28158.0,32463.0,28921.0,2243.0,4725.0,15837.0,27978.0,36928.0,5874.0,36928.0,317.0,36928.0,36898.0,26468.0,36928.0,4423.0,1367.0,14621.0,4180.0,234.0,2257.0,36928.0,36928.0,9221.0,9173.0,2500.0,1058.0,36678.0,36928.0,7650.0,36922.0,28402.0
Ki67,5121.0,5117.0,3380.0,5121.0,506.0,1713.0,529.0,691.0,412.0,1046.0,3692.0,1124.0,3388.0,4196.0,3730.0,232.0,784.0,2077.0,3453.0,5121.0,1195.0,5121.0,51.0,5121.0,5114.0,3292.0,5121.0,411.0,298.0,4180.0,442.0,22.0,353.0,5121.0,5121.0,1802.0,1788.0,424.0,106.0,5097.0,5121.0,1242.0,5121.0,3560.0
Lag3,291.0,291.0,158.0,291.0,34.0,123.0,12.0,28.0,24.0,59.0,255.0,58.0,245.0,274.0,236.0,23.0,36.0,132.0,246.0,291.0,32.0,291.0,3.0,291.0,291.0,244.0,291.0,53.0,4.0,234.0,22.0,4.0,15.0,291.0,291.0,52.0,44.0,19.0,9.0,291.0,291.0,58.0,291.0,244.0
MPO,3064.0,3061.0,1784.0,3064.0,316.0,1220.0,238.0,348.0,239.0,612.0,2466.0,715.0,2345.0,2734.0,2417.0,223.0,463.0,1363.0,2308.0,3064.0,502.0,3064.0,33.0,3064.0,3059.0,2312.0,3064.0,338.0,109.0,2257.0,353.0,15.0,140.0,3064.0,3064.0,712.0,768.0,196.0,68.0,3039.0,3064.0,653.0,3064.0,2365.0
Na,49172.0,49144.0,26999.0,49172.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,49172.0,7020.0,49172.0,436.0,49172.0,49135.0,35863.0,49172.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,24586.0,49172.0,11509.0,11435.0,3032.0,1400.0,48795.0,49172.0,9400.0,49166.0,37828.0
P,49172.0,49144.0,26999.0,49172.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,49172.0,7020.0,49172.0,436.0,49172.0,49135.0,35863.0,49172.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,49172.0,24586.0,11509.0,11435.0,3032.0,1400.0,48795.0,49172.0,9400.0,49166.0,37828.0
p53,11509.0,11506.0,7646.0,11509.0,1009.0,3843.0,1149.0,1521.0,814.0,2148.0,8119.0,2301.0,7417.0,9267.0,8125.0,506.0,1631.0,4500.0,7568.0,11509.0,2700.0,11509.0,103.0,11509.0,11495.0,7228.0,11509.0,1037.0,688.0,9221.0,1802.0,52.0,712.0,11509.0,11509.0,2156.0,4142.0,875.0,266.0,11419.0,11509.0,2728.0,11509.0,7806.0
Pan-Keratin,11435.0,11433.0,7586.0,11435.0,1037.0,3874.0,1147.0,1480.0,831.0,2196.0,8135.0,2258.0,7473.0,9255.0,8155.0,517.0,1670.0,4553.0,7580.0,11435.0,2694.0,11435.0,97.0,11435.0,11424.0,7298.0,11435.0,1069.0,685.0,9173.0,1788.0,44.0,768.0,11435.0,11435.0,4142.0,2069.0,853.0,276.0,11335.0,11435.0,2742.0,11435.0,7836.0
PD-L1,3032.0,3030.0,1885.0,3032.0,359.0,1125.0,259.0,385.0,285.0,708.0,2388.0,700.0,2221.0,2637.0,2341.0,149.0,440.0,1343.0,2251.0,3032.0,569.0,3032.0,28.0,3032.0,3031.0,2138.0,3032.0,356.0,118.0,2500.0,424.0,19.0,196.0,3032.0,3032.0,875.0,853.0,143.0,90.0,3012.0,3032.0,707.0,3031.0,2333.0
PD1,1400.0,1396.0,710.0,1400.0,138.0,571.0,69.0,143.0,155.0,302.0,1210.0,264.0,1135.0,1280.0,1153.0,95.0,145.0,614.0,1145.0,1400.0,152.0,1400.0,12.0,1400.0,1400.0,1062.0,1400.0,189.0,25.0,1058.0,106.0,9.0,68.0,1400.0,1400.0,266.0,276.0,90.0,32.0,1391.0,1400.0,268.0,1400.0,1152.0
phospho-S6,48795.0,48767.0,26797.0,48795.0,4877.0,18690.0,3106.0,5305.0,4670.0,9860.0,39626.0,9728.0,37719.0,43281.0,38228.0,3166.0,5710.0,21260.0,36986.0,48795.0,6973.0,48795.0,434.0,48795.0,48758.0,35604.0,48795.0,5983.0,1622.0,36678.0,5097.0,291.0,3039.0,48795.0,48795.0,11419.0,11335.0,3012.0,1391.0,24211.0,48795.0,9343.0,48789.0,37560.0
Si,49172.0,49144.0,26999.0,49172.0,4912.0,18822.0,3123.0,5344.0,4706.0,9914.0,39920.0,9783.0,38000.0,43597.0,38492.0,3200.0,5741.0,21422.0,37245.0,49172.0,7020.0,49172.0,436.0,49172.0,49135.0,35863.0,49172.0,6025.0,1640.0,36928.0,5121.0,291.0,3064.0,49172.0,49172.0,11509.0,11435.0,3032.0,1400.0,48795.0,24586.0,9400.0,49166.0,37828.0
SMA,9400.0,9393.0,6087.0,9400.0,1022.0,3380.0,866.0,1237.0,725.0,2173.0,7376.0,2220.0,6812.0,8130.0,7253.0,382.0,1499.0,4149.0,6979.0,9400.0,1913.0,9400.0,73.0,9400.0,9394.0,6518.0,9400.0,836.0,397.0,7650.0,1242.0,58.0,653.0,9400.0,9400.0,2728.0,2742.0,707.0,268.0,9343.0,9400.0,1346.0,9399.0,7179.0
Ta,49166.0,49138.0,26995.0,49166.0,4910.0,18820.0,3122.0,5343.0,4706.0,9912.0,39914.0,9781.0,37994.0,43591.0,38486.0,3200.0,5741.0,21420.0,37239.0,49166.0,7020.0,49166.0,436.0,49166.0,49129.0,35857.0,49166.0,6022.0,1640.0,36922.0,5121.0,291.0,3064.0,49166.0,49166.0,11509.0,11435.0,3031.0,1400.0,48789.0,49166.0,9399.0,24580.0,37823.0
Vimentin,37828.0,37804.0,20032.0,37828.0,3940.0,14762.0,2199.0,3972.0,3792.0,7917.0,31722.0,7695.0,30295.0,34246.0,30469.0,2568.0,4418.0,16784.0,29670.0,37828.0,4798.0,37828.0,346.0,37828.0,37802.0,28310.0,37828.0,4815.0,1020.0,28402.0,3560.0,244.0,2365.0,37828.0,37828.0,7806.0,7836.0,2333.0,1152.0,37560.0,37828.0,7179.0,37823.0,15042.0
