,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,23108.0,46216.0,18699.0,46216.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,46216.0,339.0,46216.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46216.0,46216.0,326.0,4425.0,1393.0,3445.0,29620.0,46216.0,3048.0,46216.0,35269.0
Background,46216.0,23108.0,18699.0,46216.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,46216.0,339.0,46216.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46216.0,46216.0,326.0,4425.0,1393.0,3445.0,29620.0,46216.0,3048.0,46216.0,35269.0
Beta catenin,18699.0,18699.0,4137.0,18699.0,5881.0,8463.0,49.0,372.0,14642.0,575.0,13881.0,784.0,11116.0,18212.0,17498.0,48.0,1634.0,3919.0,8766.0,18699.0,156.0,18699.0,0.0,18679.0,18360.0,17991.0,18697.0,357.0,1566.0,1881.0,113.0,23.0,81.0,18699.0,18699.0,170.0,2082.0,579.0,1435.0,12492.0,18699.0,1174.0,18699.0,14160.0
Ca,46216.0,46216.0,18699.0,23108.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,46216.0,339.0,46216.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46216.0,46216.0,326.0,4425.0,1393.0,3445.0,29620.0,46216.0,3048.0,46216.0,35269.0
CD11b,13066.0,13066.0,5881.0,13066.0,3357.0,4837.0,14.0,157.0,11688.0,344.0,9408.0,438.0,6871.0,12921.0,12625.0,28.0,984.0,2373.0,5307.0,13066.0,91.0,13066.0,0.0,13058.0,12956.0,12802.0,13062.0,151.0,574.0,697.0,76.0,8.0,29.0,13066.0,13066.0,159.0,732.0,328.0,1232.0,10481.0,13066.0,488.0,13066.0,9759.0
CD11c,21615.0,21615.0,8463.0,21615.0,4837.0,5617.0,49.0,439.0,16042.0,718.0,17266.0,1080.0,14638.0,21187.0,20278.0,55.0,1952.0,5081.0,11521.0,21615.0,167.0,21615.0,0.0,21575.0,21182.0,20878.0,21614.0,584.0,1519.0,1915.0,117.0,33.0,115.0,21615.0,21615.0,121.0,2223.0,726.0,1540.0,12946.0,21615.0,1592.0,21615.0,16770.0
CD138,98.0,98.0,49.0,98.0,14.0,49.0,3.0,5.0,62.0,0.0,64.0,10.0,55.0,94.0,79.0,1.0,12.0,24.0,43.0,98.0,1.0,98.0,0.0,98.0,97.0,95.0,98.0,1.0,20.0,25.0,1.0,1.0,1.0,98.0,98.0,0.0,27.0,4.0,3.0,49.0,98.0,17.0,98.0,73.0
CD16,844.0,844.0,372.0,844.0,157.0,439.0,5.0,23.0,580.0,45.0,644.0,41.0,562.0,825.0,775.0,0.0,89.0,237.0,445.0,844.0,11.0,844.0,0.0,843.0,824.0,815.0,844.0,23.0,77.0,100.0,3.0,0.0,10.0,844.0,844.0,3.0,123.0,30.0,51.0,475.0,844.0,85.0,844.0,693.0
CD20,35692.0,35692.0,14642.0,35692.0,11688.0,16042.0,62.0,580.0,14715.0,1148.0,27526.0,1543.0,21977.0,35161.0,33986.0,83.0,3084.0,7593.0,17243.0,35692.0,276.0,35692.0,0.0,35645.0,35158.0,34756.0,35687.0,728.0,1972.0,2488.0,178.0,41.0,140.0,35692.0,35692.0,270.0,2836.0,1052.0,2821.0,24496.0,35692.0,2056.0,35692.0,27412.0
CD209,1551.0,1551.0,575.0,1551.0,344.0,718.0,0.0,45.0,1148.0,61.0,1265.0,64.0,1073.0,1521.0,1443.0,4.0,194.0,413.0,815.0,1551.0,15.0,1551.0,0.0,1548.0,1510.0,1502.0,1550.0,49.0,94.0,137.0,8.0,2.0,7.0,1551.0,1551.0,11.0,138.0,63.0,94.0,886.0,1551.0,117.0,1551.0,1230.0
