,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
CD3,35711.0,35711.0,13881.0,35711.0,9408.0,17266.0,64.0,644.0,27526.0,1265.0,14236.0,1622.0,23599.0,35097.0,33740.0,83.0,3100.0,8070.0,18599.0,35711.0,251.0,35711.0,0.0,35643.0,35061.0,34624.0,35706.0,882.0,2226.0,2771.0,171.0,49.0,157.0,35711.0,35711.0,227.0,3181.0,1104.0,2720.0,22493.0,35711.0,2431.0,35711.0,27628.0
CD31,2014.0,2014.0,784.0,2014.0,438.0,1080.0,10.0,41.0,1543.0,64.0,1622.0,75.0,1352.0,1996.0,1915.0,4.0,151.0,471.0,1119.0,2014.0,13.0,2014.0,0.0,2012.0,1966.0,1961.0,2014.0,54.0,123.0,148.0,14.0,5.0,22.0,2014.0,2014.0,7.0,171.0,67.0,136.0,1188.0,2014.0,196.0,2014.0,1593.0
CD4,29029.0,29029.0,11116.0,29029.0,6871.0,14638.0,55.0,562.0,21977.0,1073.0,23599.0,1352.0,10013.0,28506.0,27403.0,79.0,2541.0,6802.0,15677.0,29029.0,209.0,29029.0,0.0,28972.0,28488.0,28108.0,29025.0,788.0,1845.0,2321.0,139.0,45.0,130.0,29029.0,29029.0,170.0,2670.0,936.0,2194.0,17778.0,29029.0,2100.0,29029.0,22684.0
CD45,45277.0,45277.0,18212.0,45277.0,12921.0,21187.0,94.0,825.0,35161.0,1521.0,35097.0,1996.0,28506.0,22215.0,42691.0,110.0,3886.0,9895.0,22551.0,45277.0,327.0,45277.0,0.0,45189.0,44439.0,43847.0,45271.0,1054.0,2995.0,3690.0,239.0,58.0,192.0,45277.0,45277.0,305.0,4166.0,1357.0,3387.0,29121.0,45277.0,2983.0,45277.0,34645.0
CD45RO,43497.0,43497.0,17498.0,43497.0,12625.0,20278.0,79.0,775.0,33986.0,1443.0,33740.0,1915.0,27403.0,42691.0,20584.0,105.0,3685.0,9468.0,21629.0,43497.0,312.0,43497.0,0.0,43413.0,42715.0,42127.0,43491.0,1002.0,2802.0,3443.0,235.0,58.0,183.0,43497.0,43497.0,302.0,3909.0,1296.0,3262.0,28165.0,43497.0,2827.0,43497.0,33211.0
CD56,115.0,115.0,48.0,115.0,28.0,55.0,1.0,0.0,83.0,4.0,83.0,4.0,79.0,110.0,105.0,0.0,14.0,28.0,59.0,115.0,1.0,115.0,0.0,114.0,111.0,110.0,115.0,5.0,9.0,11.0,1.0,0.0,1.0,115.0,115.0,0.0,13.0,5.0,5.0,63.0,115.0,10.0,115.0,95.0
CD63,3972.0,3972.0,1634.0,3972.0,984.0,1952.0,12.0,89.0,3084.0,194.0,3100.0,151.0,2541.0,3886.0,3685.0,14.0,257.0,1017.0,2057.0,3972.0,30.0,3972.0,0.0,3965.0,3886.0,3838.0,3972.0,109.0,324.0,406.0,15.0,9.0,12.0,3972.0,3972.0,35.0,463.0,146.0,293.0,2460.0,3972.0,262.0,3972.0,3134.0
CD68,10109.0,10109.0,3919.0,10109.0,2373.0,5081.0,24.0,237.0,7593.0,413.0,8070.0,471.0,6802.0,9895.0,9468.0,28.0,1017.0,1257.0,5326.0,10109.0,95.0,10109.0,0.0,10084.0,9898.0,9775.0,10107.0,266.0,673.0,894.0,41.0,15.0,47.0,10109.0,10109.0,58.0,1036.0,329.0,717.0,6057.0,10109.0,739.0,10109.0,7911.0
CD8,22956.0,22956.0,8766.0,22956.0,5307.0,11521.0,43.0,445.0,17243.0,815.0,18599.0,1119.0,15677.0,22551.0,21629.0,59.0,2057.0,5326.0,6359.0,22956.0,150.0,22956.0,0.0,22903.0,22526.0,22229.0,22954.0,630.0,1498.0,1849.0,95.0,25.0,107.0,22956.0,22956.0,127.0,2140.0,701.0,1625.0,13885.0,22956.0,1659.0,22956.0,17956.0
dsDNA,46216.0,46216.0,18699.0,46216.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,23108.0,339.0,46216.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46216.0,46216.0,326.0,4425.0,1393.0,3445.0,29620.0,46216.0,3048.0,46216.0,35269.0
EGFR,339.0,339.0,156.0,339.0,91.0,167.0,1.0,11.0,276.0,15.0,251.0,13.0,209.0,327.0,312.0,1.0,30.0,95.0,150.0,339.0,5.0,339.0,0.0,339.0,337.0,325.0,339.0,7.0,28.0,34.0,5.0,1.0,3.0,339.0,339.0,4.0,48.0,12.0,23.0,211.0,339.0,20.0,339.0,256.0
Fe,46216.0,46216.0,18699.0,46216.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,46216.0,339.0,23108.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46216.0,46216.0,326.0,4425.0,1393.0,3445.0,29620.0,46216.0,3048.0,46216.0,35269.0
FoxP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3K27me3,46127.0,46127.0,18679.0,46127.0,13058.0,21575.0,98.0,843.0,35645.0,1548.0,35643.0,2012.0,28972.0,45189.0,43413.0,114.0,3965.0,10084.0,22903.0,46127.0,339.0,46127.0,0.0,23019.0,45251.0,44581.0,46121.0,1081.0,3206.0,3934.0,255.0,61.0,193.0,46127.0,46127.0,326.0,4415.0,1391.0,3441.0,29579.0,46127.0,3029.0,46127.0,35205.0
H3K9ac,45337.0,45337.0,18360.0,45337.0,12956.0,21182.0,97.0,824.0,35158.0,1510.0,35061.0,1966.0,28488.0,44439.0,42715.0,111.0,3886.0,9898.0,22526.0,45337.0,337.0,45337.0,0.0,45251.0,22244.0,43837.0,45331.0,1055.0,3116.0,3831.0,253.0,60.0,182.0,45337.0,45337.0,325.0,4302.0,1375.0,3398.0,29202.0,45337.0,2951.0,45337.0,34643.0
HLA-DR,44667.0,44667.0,17991.0,44667.0,12802.0,20878.0,95.0,815.0,34756.0,1502.0,34624.0,1961.0,28108.0,43847.0,42127.0,110.0,3838.0,9775.0,22229.0,44667.0,325.0,44667.0,0.0,44581.0,43837.0,21641.0,44661.0,1033.0,2929.0,3616.0,237.0,55.0,189.0,44667.0,44667.0,303.0,4099.0,1342.0,3331.0,28798.0,44667.0,2949.0,44667.0,34181.0
HLA_Class_1,46210.0,46210.0,18697.0,46210.0,13062.0,21614.0,98.0,844.0,35687.0,1550.0,35706.0,2014.0,29025.0,45271.0,43491.0,115.0,3972.0,10107.0,22954.0,46210.0,339.0,46210.0,0.0,46121.0,45331.0,44661.0,23102.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46210.0,46210.0,326.0,4425.0,1393.0,3445.0,29616.0,46210.0,3048.0,46210.0,35264.0
IDO,1084.0,1084.0,357.0,1084.0,151.0,584.0,1.0,23.0,728.0,49.0,882.0,54.0,788.0,1054.0,1002.0,5.0,109.0,266.0,630.0,1084.0,7.0,1084.0,0.0,1081.0,1055.0,1033.0,1084.0,25.0,82.0,106.0,4.0,1.0,4.0,1084.0,1084.0,4.0,126.0,34.0,63.0,571.0,1084.0,95.0,1084.0,833.0
Keratin17,3213.0,3213.0,1566.0,3213.0,574.0,1519.0,20.0,77.0,1972.0,94.0,2226.0,123.0,1845.0,2995.0,2802.0,9.0,324.0,673.0,1498.0,3213.0,28.0,3213.0,0.0,3206.0,3116.0,2929.0,3213.0,82.0,293.0,693.0,32.0,2.0,11.0,3213.0,3213.0,37.0,710.0,112.0,212.0,1770.0,3213.0,274.0,3213.0,2365.0
Keratin6,3942.0,3942.0,1881.0,3942.0,697.0,1915.0,25.0,100.0,2488.0,137.0,2771.0,148.0,2321.0,3690.0,3443.0,11.0,406.0,894.0,1849.0,3942.0,34.0,3942.0,0.0,3934.0,3831.0,3616.0,3942.0,106.0,693.0,422.0,40.0,5.0,18.0,3942.0,3942.0,44.0,849.0,154.0,271.0,2179.0,3942.0,321.0,3942.0,2919.0
Ki67,255.0,255.0,113.0,255.0,76.0,117.0,1.0,3.0,178.0,8.0,171.0,14.0,139.0,239.0,235.0,1.0,15.0,41.0,95.0,255.0,5.0,255.0,0.0,255.0,253.0,237.0,255.0,4.0,32.0,40.0,6.0,0.0,0.0,255.0,255.0,4.0,39.0,13.0,21.0,160.0,255.0,11.0,255.0,172.0
Lag3,61.0,61.0,23.0,61.0,8.0,33.0,1.0,0.0,41.0,2.0,49.0,5.0,45.0,58.0,58.0,0.0,9.0,15.0,25.0,61.0,1.0,61.0,0.0,61.0,60.0,55.0,61.0,1.0,2.0,5.0,0.0,0.0,0.0,61.0,61.0,0.0,5.0,3.0,10.0,34.0,61.0,4.0,61.0,50.0
MPO,193.0,193.0,81.0,193.0,29.0,115.0,1.0,10.0,140.0,7.0,157.0,22.0,130.0,192.0,183.0,1.0,12.0,47.0,107.0,193.0,3.0,193.0,0.0,193.0,182.0,189.0,193.0,4.0,11.0,18.0,0.0,0.0,1.0,193.0,193.0,0.0,16.0,6.0,13.0,94.0,193.0,24.0,193.0,145.0
Na,46216.0,46216.0,18699.0,46216.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,46216.0,339.0,46216.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,23108.0,46216.0,326.0,4425.0,1393.0,3445.0,29620.0,46216.0,3048.0,46216.0,35269.0
P,46216.0,46216.0,18699.0,46216.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,46216.0,339.0,46216.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46216.0,23108.0,326.0,4425.0,1393.0,3445.0,29620.0,46216.0,3048.0,46216.0,35269.0
p53,326.0,326.0,170.0,326.0,159.0,121.0,0.0,3.0,270.0,11.0,227.0,7.0,170.0,305.0,302.0,0.0,35.0,58.0,127.0,326.0,4.0,326.0,0.0,326.0,325.0,303.0,326.0,4.0,37.0,44.0,4.0,0.0,0.0,326.0,326.0,14.0,37.0,14.0,45.0,265.0,326.0,6.0,326.0,227.0
Pan-Keratin,4425.0,4425.0,2082.0,4425.0,732.0,2223.0,27.0,123.0,2836.0,138.0,3181.0,171.0,2670.0,4166.0,3909.0,13.0,463.0,1036.0,2140.0,4425.0,48.0,4425.0,0.0,4415.0,4302.0,4099.0,4425.0,126.0,710.0,849.0,39.0,5.0,16.0,4425.0,4425.0,37.0,482.0,163.0,280.0,2451.0,4425.0,354.0,4425.0,3280.0
PD-L1,1393.0,1393.0,579.0,1393.0,328.0,726.0,4.0,30.0,1052.0,63.0,1104.0,67.0,936.0,1357.0,1296.0,5.0,146.0,329.0,701.0,1393.0,12.0,1393.0,0.0,1391.0,1375.0,1342.0,1393.0,34.0,112.0,154.0,13.0,3.0,6.0,1393.0,1393.0,14.0,163.0,31.0,115.0,880.0,1393.0,102.0,1393.0,1080.0
PD1,3445.0,3445.0,1435.0,3445.0,1232.0,1540.0,3.0,51.0,2821.0,94.0,2720.0,136.0,2194.0,3387.0,3262.0,5.0,293.0,717.0,1625.0,3445.0,23.0,3445.0,0.0,3441.0,3398.0,3331.0,3445.0,63.0,212.0,271.0,21.0,10.0,13.0,3445.0,3445.0,45.0,280.0,115.0,213.0,2424.0,3445.0,201.0,3445.0,2630.0
phospho-S6,29620.0,29620.0,12492.0,29620.0,10481.0,12946.0,49.0,475.0,24496.0,886.0,22493.0,1188.0,17778.0,29121.0,28165.0,63.0,2460.0,6057.0,13885.0,29620.0,211.0,29620.0,0.0,29579.0,29202.0,28798.0,29616.0,571.0,1770.0,2179.0,160.0,34.0,94.0,29620.0,29620.0,265.0,2451.0,880.0,2424.0,10526.0,29620.0,1621.0,29620.0,22584.0
Si,46216.0,46216.0,18699.0,46216.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,46216.0,339.0,46216.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46216.0,46216.0,326.0,4425.0,1393.0,3445.0,29620.0,23108.0,3048.0,46216.0,35269.0
SMA,3048.0,3048.0,1174.0,3048.0,488.0,1592.0,17.0,85.0,2056.0,117.0,2431.0,196.0,2100.0,2983.0,2827.0,10.0,262.0,739.0,1659.0,3048.0,20.0,3048.0,0.0,3029.0,2951.0,2949.0,3048.0,95.0,274.0,321.0,11.0,4.0,24.0,3048.0,3048.0,6.0,354.0,102.0,201.0,1621.0,3048.0,177.0,3048.0,2359.0
Ta,46216.0,46216.0,18699.0,46216.0,13066.0,21615.0,98.0,844.0,35692.0,1551.0,35711.0,2014.0,29029.0,45277.0,43497.0,115.0,3972.0,10109.0,22956.0,46216.0,339.0,46216.0,0.0,46127.0,45337.0,44667.0,46210.0,1084.0,3213.0,3942.0,255.0,61.0,193.0,46216.0,46216.0,326.0,4425.0,1393.0,3445.0,29620.0,46216.0,3048.0,23108.0,35269.0
Vimentin,35269.0,35269.0,14160.0,35269.0,9759.0,16770.0,73.0,693.0,27412.0,1230.0,27628.0,1593.0,22684.0,34645.0,33211.0,95.0,3134.0,7911.0,17956.0,35269.0,256.0,35269.0,0.0,35205.0,34643.0,34181.0,35264.0,833.0,2365.0,2919.0,172.0,50.0,145.0,35269.0,35269.0,227.0,3280.0,1080.0,2630.0,22584.0,35269.0,2359.0,35269.0,13688.0
