,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,12812.0,25624.0,14745.0,25624.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,25624.0,1534.0,25624.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25624.0,25624.0,2107.0,7928.0,4080.0,1664.0,25347.0,25624.0,12556.0,25624.0,22124.0
Background,25624.0,12812.0,14745.0,25624.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,25624.0,1534.0,25624.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25624.0,25624.0,2107.0,7928.0,4080.0,1664.0,25347.0,25624.0,12556.0,25624.0,22124.0
Beta catenin,14745.0,14745.0,4342.0,14745.0,1525.0,3135.0,5559.0,2130.0,6784.0,6417.0,4684.0,4532.0,3707.0,11715.0,9721.0,342.0,1296.0,4730.0,3365.0,14745.0,888.0,14745.0,79.0,14742.0,14738.0,9889.0,14533.0,1231.0,2035.0,2847.0,1281.0,165.0,692.0,14745.0,14745.0,1305.0,4656.0,2344.0,927.0,14591.0,14745.0,7489.0,14745.0,12799.0
Ca,25624.0,25624.0,14745.0,12812.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,25624.0,1534.0,25624.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25624.0,25624.0,2107.0,7928.0,4080.0,1664.0,25347.0,25624.0,12556.0,25624.0,22124.0
CD11b,2717.0,2717.0,1525.0,2717.0,207.0,699.0,965.0,359.0,1428.0,1276.0,866.0,840.0,745.0,2246.0,1822.0,71.0,257.0,951.0,610.0,2717.0,162.0,2717.0,4.0,2717.0,2717.0,1961.0,2684.0,273.0,339.0,464.0,225.0,23.0,85.0,2717.0,2717.0,217.0,801.0,488.0,173.0,2682.0,2717.0,1246.0,2717.0,2356.0
CD11c,5527.0,5527.0,3135.0,5527.0,699.0,715.0,1983.0,738.0,2821.0,2481.0,1875.0,1668.0,1509.0,4558.0,3800.0,129.0,502.0,1842.0,1340.0,5527.0,345.0,5527.0,11.0,5527.0,5526.0,3985.0,5461.0,515.0,675.0,1048.0,460.0,54.0,213.0,5527.0,5527.0,457.0,1661.0,973.0,398.0,5471.0,5527.0,2583.0,5527.0,4719.0
CD138,9589.0,9589.0,5559.0,9589.0,965.0,1983.0,1918.0,1367.0,4475.0,4148.0,3092.0,2999.0,2455.0,7645.0,6330.0,231.0,909.0,3230.0,2171.0,9589.0,586.0,9589.0,48.0,9589.0,9585.0,6504.0,9464.0,806.0,1258.0,1857.0,830.0,103.0,426.0,9589.0,9589.0,792.0,3047.0,1566.0,600.0,9494.0,9589.0,4829.0,9589.0,8312.0
CD16,3634.0,3634.0,2130.0,3634.0,359.0,738.0,1367.0,285.0,1688.0,1640.0,1221.0,1166.0,942.0,2993.0,2445.0,89.0,362.0,1265.0,950.0,3634.0,197.0,3634.0,18.0,3633.0,3632.0,2494.0,3583.0,300.0,457.0,611.0,308.0,40.0,148.0,3634.0,3634.0,269.0,1009.0,535.0,235.0,3599.0,3634.0,1915.0,3634.0,3232.0
CD20,12214.0,12214.0,6784.0,12214.0,1428.0,2821.0,4475.0,1688.0,3219.0,5547.0,4107.0,3782.0,3296.0,10056.0,8295.0,286.0,1100.0,4243.0,2761.0,12214.0,665.0,12214.0,54.0,12212.0,12208.0,8766.0,12081.0,1075.0,1405.0,2147.0,974.0,130.0,507.0,12214.0,12214.0,862.0,3575.0,1991.0,896.0,12082.0,12214.0,5715.0,12214.0,10557.0
CD209,11180.0,11180.0,6417.0,11180.0,1276.0,2481.0,4148.0,1640.0,5547.0,2606.0,3727.0,3602.0,2989.0,9129.0,7504.0,299.0,1025.0,3882.0,2606.0,11180.0,636.0,11180.0,52.0,11177.0,11176.0,7813.0,11025.0,974.0,1406.0,1966.0,961.0,128.0,462.0,11180.0,11180.0,878.0,3282.0,1794.0,741.0,11057.0,11180.0,5509.0,11180.0,9764.0
CD3,8201.0,8201.0,4684.0,8201.0,866.0,1875.0,3092.0,1221.0,4107.0,3727.0,1502.0,2486.0,2312.0,6758.0,5728.0,216.0,747.0,2879.0,2161.0,8201.0,484.0,8201.0,47.0,8200.0,8198.0,5857.0,8101.0,748.0,988.0,1473.0,693.0,108.0,392.0,8201.0,8201.0,647.0,2383.0,1337.0,675.0,8115.0,8201.0,3979.0,8201.0,7113.0
CD31,7780.0,7780.0,4532.0,7780.0,840.0,1668.0,2999.0,1166.0,3782.0,3602.0,2486.0,1300.0,1981.0,6270.0,5114.0,189.0,759.0,2673.0,1765.0,7780.0,419.0,7780.0,48.0,7778.0,7778.0,5339.0,7672.0,625.0,997.0,1329.0,678.0,95.0,331.0,7780.0,7780.0,628.0,2356.0,1240.0,446.0,7691.0,7780.0,3981.0,7780.0,6852.0
CD4,6501.0,6501.0,3707.0,6501.0,745.0,1509.0,2455.0,942.0,3296.0,2989.0,2312.0,1981.0,902.0,5360.0,4507.0,170.0,623.0,2286.0,1664.0,6501.0,385.0,6501.0,26.0,6501.0,6498.0,4611.0,6412.0,594.0,800.0,1173.0,562.0,69.0,299.0,6501.0,6501.0,518.0,1908.0,1079.0,522.0,6435.0,6501.0,3143.0,6501.0,5620.0
CD45,20575.0,20575.0,11715.0,20575.0,2246.0,4558.0,7645.0,2993.0,10056.0,9129.0,6758.0,6270.0,5360.0,8348.0,13815.0,511.0,1799.0,6911.0,4724.0,20575.0,1174.0,20575.0,102.0,20570.0,20567.0,14316.0,20304.0,1825.0,2566.0,3740.0,1746.0,235.0,878.0,20575.0,20575.0,1614.0,6181.0,3251.0,1396.0,20347.0,20575.0,10026.0,20575.0,17817.0
CD45RO,17015.0,17015.0,9721.0,17015.0,1822.0,3800.0,6330.0,2445.0,8295.0,7504.0,5728.0,5114.0,4507.0,13815.0,5781.0,431.0,1480.0,5713.0,4055.0,17015.0,1017.0,17015.0,72.0,17014.0,17007.0,11836.0,16774.0,1516.0,2180.0,3194.0,1439.0,196.0,757.0,17015.0,17015.0,1409.0,5144.0,2747.0,1210.0,16832.0,17015.0,8214.0,17015.0,14644.0
CD56,624.0,624.0,342.0,624.0,71.0,129.0,231.0,89.0,286.0,299.0,216.0,189.0,170.0,511.0,431.0,14.0,57.0,186.0,151.0,624.0,40.0,624.0,4.0,624.0,623.0,434.0,618.0,53.0,79.0,103.0,46.0,7.0,24.0,624.0,624.0,59.0,190.0,98.0,31.0,618.0,624.0,310.0,624.0,547.0
CD63,2219.0,2219.0,1296.0,2219.0,257.0,502.0,909.0,362.0,1100.0,1025.0,747.0,759.0,623.0,1799.0,1480.0,57.0,133.0,803.0,563.0,2219.0,128.0,2219.0,9.0,2219.0,2217.0,1510.0,2187.0,173.0,294.0,371.0,204.0,24.0,98.0,2219.0,2219.0,186.0,662.0,377.0,147.0,2196.0,2219.0,1187.0,2219.0,1958.0
CD68,8427.0,8427.0,4730.0,8427.0,951.0,1842.0,3230.0,1265.0,4243.0,3882.0,2879.0,2673.0,2286.0,6911.0,5713.0,186.0,803.0,1494.0,2024.0,8427.0,455.0,8427.0,36.0,8425.0,8425.0,5901.0,8312.0,718.0,1024.0,1444.0,728.0,106.0,337.0,8427.0,8427.0,618.0,2476.0,1354.0,583.0,8343.0,8427.0,4150.0,8427.0,7358.0
