,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
CD8,5796.0,5796.0,3365.0,5796.0,610.0,1340.0,2171.0,950.0,2761.0,2606.0,2161.0,1765.0,1664.0,4724.0,4055.0,151.0,563.0,2024.0,845.0,5796.0,349.0,5796.0,33.0,5795.0,5794.0,4075.0,5707.0,562.0,747.0,1065.0,486.0,79.0,289.0,5796.0,5796.0,486.0,1665.0,1005.0,499.0,5737.0,5796.0,2904.0,5796.0,5048.0
dsDNA,25624.0,25624.0,14745.0,25624.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,12812.0,1534.0,25624.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25624.0,25624.0,2107.0,7928.0,4080.0,1664.0,25347.0,25624.0,12556.0,25624.0,22124.0
EGFR,1534.0,1534.0,888.0,1534.0,162.0,345.0,586.0,197.0,665.0,636.0,484.0,419.0,385.0,1174.0,1017.0,40.0,128.0,455.0,349.0,1534.0,76.0,1534.0,5.0,1534.0,1533.0,1042.0,1509.0,157.0,252.0,386.0,127.0,17.0,68.0,1534.0,1534.0,173.0,534.0,288.0,109.0,1520.0,1534.0,659.0,1534.0,1264.0
Fe,25624.0,25624.0,14745.0,25624.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,25624.0,1534.0,12812.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25624.0,25624.0,2107.0,7928.0,4080.0,1664.0,25347.0,25624.0,12556.0,25624.0,22124.0
FoxP3,129.0,129.0,79.0,129.0,4.0,11.0,48.0,18.0,54.0,52.0,47.0,48.0,26.0,102.0,72.0,4.0,9.0,36.0,33.0,129.0,5.0,129.0,0.0,129.0,129.0,83.0,129.0,5.0,12.0,20.0,7.0,0.0,6.0,129.0,129.0,8.0,34.0,12.0,8.0,126.0,129.0,76.0,129.0,114.0
H3K27me3,25618.0,25618.0,14742.0,25618.0,2717.0,5527.0,9589.0,3633.0,12212.0,11177.0,8200.0,7778.0,6501.0,20570.0,17014.0,624.0,2219.0,8425.0,5795.0,25618.0,1534.0,25618.0,129.0,12806.0,25607.0,17582.0,25262.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25618.0,25618.0,2107.0,7928.0,4079.0,1664.0,25341.0,25618.0,12550.0,25618.0,22118.0
H3K9ac,25613.0,25613.0,14738.0,25613.0,2717.0,5526.0,9585.0,3632.0,12208.0,11176.0,8198.0,7778.0,6498.0,20567.0,17007.0,623.0,2217.0,8425.0,5794.0,25613.0,1533.0,25613.0,129.0,25607.0,12801.0,17577.0,25257.0,2212.0,3328.0,4844.0,2190.0,289.0,1114.0,25613.0,25613.0,2105.0,7923.0,4078.0,1663.0,25336.0,25613.0,12550.0,25613.0,22116.0
HLA-DR,17584.0,17584.0,9889.0,17584.0,1961.0,3985.0,6504.0,2494.0,8766.0,7813.0,5857.0,5339.0,4611.0,14316.0,11836.0,434.0,1510.0,5901.0,4075.0,17584.0,1042.0,17584.0,83.0,17582.0,17577.0,6189.0,17367.0,1620.0,2123.0,3233.0,1446.0,197.0,725.0,17584.0,17584.0,1338.0,5210.0,2796.0,1227.0,17406.0,17584.0,8341.0,17584.0,15179.0
HLA_Class_1,25268.0,25268.0,14533.0,25268.0,2684.0,5461.0,9464.0,3583.0,12081.0,11025.0,8101.0,7672.0,6412.0,20304.0,16774.0,618.0,2187.0,8312.0,5707.0,25268.0,1509.0,25268.0,129.0,25262.0,25257.0,17367.0,12466.0,2190.0,3258.0,4761.0,2157.0,288.0,1095.0,25268.0,25268.0,2062.0,7800.0,4029.0,1648.0,24995.0,25268.0,12384.0,25268.0,21826.0
IDO,2214.0,2214.0,1231.0,2214.0,273.0,515.0,806.0,300.0,1075.0,974.0,748.0,625.0,594.0,1825.0,1516.0,53.0,173.0,718.0,562.0,2214.0,157.0,2214.0,5.0,2214.0,2212.0,1620.0,2190.0,115.0,273.0,454.0,169.0,24.0,76.0,2214.0,2214.0,178.0,662.0,374.0,175.0,2196.0,2214.0,991.0,2214.0,1897.0
Keratin17,3329.0,3329.0,2035.0,3329.0,339.0,675.0,1258.0,457.0,1405.0,1406.0,988.0,997.0,800.0,2566.0,2180.0,79.0,294.0,1024.0,747.0,3329.0,252.0,3329.0,12.0,3329.0,3328.0,2123.0,3258.0,273.0,289.0,742.0,307.0,39.0,187.0,3329.0,3329.0,387.0,1150.0,567.0,196.0,3294.0,3329.0,1655.0,3329.0,2803.0
Keratin6,4847.0,4847.0,2847.0,4847.0,464.0,1048.0,1857.0,611.0,2147.0,1966.0,1473.0,1329.0,1173.0,3740.0,3194.0,103.0,371.0,1444.0,1065.0,4847.0,386.0,4847.0,20.0,4847.0,4844.0,3233.0,4761.0,454.0,742.0,592.0,414.0,41.0,242.0,4847.0,4847.0,502.0,1693.0,843.0,327.0,4800.0,4847.0,2194.0,4847.0,4021.0
Ki67,2190.0,2190.0,1281.0,2190.0,225.0,460.0,830.0,308.0,974.0,961.0,693.0,678.0,562.0,1746.0,1439.0,46.0,204.0,728.0,486.0,2190.0,127.0,2190.0,7.0,2190.0,2190.0,1446.0,2157.0,169.0,307.0,414.0,107.0,24.0,113.0,2190.0,2190.0,210.0,677.0,369.0,142.0,2174.0,2190.0,1092.0,2190.0,1921.0
Lag3,289.0,289.0,165.0,289.0,23.0,54.0,103.0,40.0,130.0,128.0,108.0,95.0,69.0,235.0,196.0,7.0,24.0,106.0,79.0,289.0,17.0,289.0,0.0,289.0,289.0,197.0,288.0,24.0,39.0,41.0,24.0,1.0,14.0,289.0,289.0,27.0,80.0,41.0,25.0,288.0,289.0,144.0,289.0,255.0
MPO,1114.0,1114.0,692.0,1114.0,85.0,213.0,426.0,148.0,507.0,462.0,392.0,331.0,299.0,878.0,757.0,24.0,98.0,337.0,289.0,1114.0,68.0,1114.0,6.0,1114.0,1114.0,725.0,1095.0,76.0,187.0,242.0,113.0,14.0,30.0,1114.0,1114.0,128.0,379.0,209.0,85.0,1103.0,1114.0,563.0,1114.0,944.0
Na,25624.0,25624.0,14745.0,25624.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,25624.0,1534.0,25624.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,12812.0,25624.0,2107.0,7928.0,4080.0,1664.0,25347.0,25624.0,12556.0,25624.0,22124.0
P,25624.0,25624.0,14745.0,25624.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,25624.0,1534.0,25624.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25624.0,12812.0,2107.0,7928.0,4080.0,1664.0,25347.0,25624.0,12556.0,25624.0,22124.0
p53,2107.0,2107.0,1305.0,2107.0,217.0,457.0,792.0,269.0,862.0,878.0,647.0,628.0,518.0,1614.0,1409.0,59.0,186.0,618.0,486.0,2107.0,173.0,2107.0,8.0,2107.0,2105.0,1338.0,2062.0,178.0,387.0,502.0,210.0,27.0,128.0,2107.0,2107.0,139.0,747.0,385.0,132.0,2084.0,2107.0,1026.0,2107.0,1758.0
Pan-Keratin,7928.0,7928.0,4656.0,7928.0,801.0,1661.0,3047.0,1009.0,3575.0,3282.0,2383.0,2356.0,1908.0,6181.0,5144.0,190.0,662.0,2476.0,1665.0,7928.0,534.0,7928.0,34.0,7928.0,7923.0,5210.0,7800.0,662.0,1150.0,1693.0,677.0,80.0,379.0,7928.0,7928.0,747.0,1358.0,1321.0,475.0,7833.0,7928.0,3876.0,7928.0,6754.0
PD-L1,4080.0,4080.0,2344.0,4080.0,488.0,973.0,1566.0,535.0,1991.0,1794.0,1337.0,1240.0,1079.0,3251.0,2747.0,98.0,377.0,1354.0,1005.0,4080.0,288.0,4080.0,12.0,4079.0,4078.0,2796.0,4029.0,374.0,567.0,843.0,369.0,41.0,209.0,4080.0,4080.0,385.0,1321.0,385.0,308.0,4043.0,4080.0,1935.0,4080.0,3485.0
PD1,1664.0,1664.0,927.0,1664.0,173.0,398.0,600.0,235.0,896.0,741.0,675.0,446.0,522.0,1396.0,1210.0,31.0,147.0,583.0,499.0,1664.0,109.0,1664.0,8.0,1664.0,1663.0,1227.0,1648.0,175.0,196.0,327.0,142.0,25.0,85.0,1664.0,1664.0,132.0,475.0,308.0,101.0,1645.0,1664.0,746.0,1664.0,1424.0
phospho-S6,25347.0,25347.0,14591.0,25347.0,2682.0,5471.0,9494.0,3599.0,12082.0,11057.0,8115.0,7691.0,6435.0,20347.0,16832.0,618.0,2196.0,8343.0,5737.0,25347.0,1520.0,25347.0,126.0,25341.0,25336.0,17406.0,24995.0,2196.0,3294.0,4800.0,2174.0,288.0,1103.0,25347.0,25347.0,2084.0,7833.0,4043.0,1645.0,12536.0,25347.0,12412.0,25347.0,21877.0
Si,25624.0,25624.0,14745.0,25624.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,25624.0,1534.0,25624.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25624.0,25624.0,2107.0,7928.0,4080.0,1664.0,25347.0,12812.0,12556.0,25624.0,22124.0
SMA,12556.0,12556.0,7489.0,12556.0,1246.0,2583.0,4829.0,1915.0,5715.0,5509.0,3979.0,3981.0,3143.0,10026.0,8214.0,310.0,1187.0,4150.0,2904.0,12556.0,659.0,12556.0,76.0,12550.0,12550.0,8341.0,12384.0,991.0,1655.0,2194.0,1092.0,144.0,563.0,12556.0,12556.0,1026.0,3876.0,1935.0,746.0,12412.0,12556.0,3377.0,12556.0,11049.0
Ta,25624.0,25624.0,14745.0,25624.0,2717.0,5527.0,9589.0,3634.0,12214.0,11180.0,8201.0,7780.0,6501.0,20575.0,17015.0,624.0,2219.0,8427.0,5796.0,25624.0,1534.0,25624.0,129.0,25618.0,25613.0,17584.0,25268.0,2214.0,3329.0,4847.0,2190.0,289.0,1114.0,25624.0,25624.0,2107.0,7928.0,4080.0,1664.0,25347.0,25624.0,12556.0,12812.0,22124.0
Vimentin,22124.0,22124.0,12799.0,22124.0,2356.0,4719.0,8312.0,3232.0,10557.0,9764.0,7113.0,6852.0,5620.0,17817.0,14644.0,547.0,1958.0,7358.0,5048.0,22124.0,1264.0,22124.0,114.0,22118.0,22116.0,15179.0,21826.0,1897.0,2803.0,4021.0,1921.0,255.0,944.0,22124.0,22124.0,1758.0,6754.0,3485.0,1424.0,21877.0,22124.0,11049.0,22124.0,9629.0
