,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,15263.0,30515.0,28190.0,30526.0,779.0,6030.0,313.0,13949.0,1094.0,4.0,9772.0,290.0,980.0,25239.0,13741.0,0.0,2144.0,6025.0,10735.0,30526.0,18879.0,30526.0,17.0,30513.0,29982.0,12525.0,30526.0,8651.0,1028.0,24426.0,1319.0,1560.0,4928.0,30526.0,30526.0,10273.0,12062.0,14459.0,1314.0,24805.0,30526.0,236.0,30520.0,11667.0
Background,30515.0,15252.0,28179.0,30515.0,779.0,6029.0,313.0,13945.0,1093.0,4.0,9769.0,290.0,980.0,25232.0,13737.0,0.0,2144.0,6024.0,10733.0,30515.0,18873.0,30515.0,17.0,30502.0,29971.0,12519.0,30515.0,8649.0,1028.0,24419.0,1319.0,1559.0,4927.0,30515.0,30515.0,10272.0,12059.0,14454.0,1314.0,24796.0,30515.0,236.0,30509.0,11664.0
Beta catenin,28190.0,28179.0,13209.0,28190.0,585.0,5364.0,291.0,12697.0,1031.0,4.0,9162.0,274.0,923.0,23194.0,12438.0,0.0,1884.0,5159.0,10043.0,28190.0,18064.0,28190.0,17.0,28179.0,27760.0,11686.0,28190.0,8253.0,1011.0,22893.0,1294.0,1444.0,4094.0,28190.0,28190.0,9885.0,11287.0,13825.0,1246.0,23150.0,28190.0,233.0,28184.0,10862.0
Ca,30526.0,30515.0,28190.0,15263.0,779.0,6030.0,313.0,13949.0,1094.0,4.0,9772.0,290.0,980.0,25239.0,13741.0,0.0,2144.0,6025.0,10735.0,30526.0,18879.0,30526.0,17.0,30513.0,29982.0,12525.0,30526.0,8651.0,1028.0,24426.0,1319.0,1560.0,4928.0,30526.0,30526.0,10273.0,12062.0,14459.0,1314.0,24805.0,30526.0,236.0,30520.0,11667.0
CD11b,779.0,779.0,585.0,779.0,42.0,239.0,10.0,411.0,27.0,0.0,212.0,4.0,14.0,678.0,431.0,0.0,88.0,304.0,216.0,779.0,345.0,779.0,0.0,779.0,740.0,320.0,779.0,150.0,12.0,539.0,19.0,39.0,285.0,779.0,779.0,143.0,258.0,259.0,22.0,562.0,779.0,2.0,779.0,261.0
CD11c,6030.0,6029.0,5364.0,6030.0,239.0,782.0,54.0,3014.0,209.0,0.0,1733.0,57.0,172.0,5118.0,2950.0,0.0,523.0,1439.0,1958.0,6030.0,3736.0,6030.0,1.0,6030.0,5902.0,2632.0,6030.0,1687.0,180.0,4652.0,215.0,269.0,1290.0,6030.0,6030.0,1819.0,2267.0,2924.0,235.0,4797.0,6030.0,35.0,6029.0,2335.0
CD138,313.0,313.0,291.0,313.0,10.0,54.0,3.0,126.0,8.0,0.0,99.0,2.0,10.0,247.0,126.0,0.0,24.0,57.0,102.0,313.0,212.0,313.0,0.0,313.0,308.0,124.0,313.0,107.0,17.0,260.0,17.0,12.0,41.0,313.0,313.0,102.0,152.0,145.0,13.0,266.0,313.0,3.0,313.0,107.0
CD16,13949.0,13945.0,12697.0,13949.0,411.0,3014.0,126.0,3347.0,504.0,1.0,4274.0,144.0,423.0,11627.0,6491.0,0.0,1064.0,2957.0,4738.0,13949.0,8432.0,13949.0,8.0,13944.0,13665.0,5738.0,13949.0,3928.0,439.0,11000.0,552.0,691.0,2515.0,13949.0,13949.0,4485.0,5403.0,6504.0,594.0,11243.0,13949.0,103.0,13948.0,5402.0
CD20,1094.0,1093.0,1031.0,1094.0,27.0,209.0,8.0,504.0,39.0,0.0,388.0,14.0,51.0,919.0,487.0,0.0,58.0,186.0,422.0,1094.0,703.0,1094.0,0.0,1094.0,1085.0,492.0,1094.0,380.0,47.0,890.0,47.0,57.0,147.0,1094.0,1094.0,382.0,383.0,576.0,44.0,919.0,1094.0,15.0,1094.0,449.0
CD209,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,0.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0
