,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
CD3,9772.0,9769.0,9162.0,9772.0,212.0,1733.0,99.0,4274.0,388.0,3.0,1712.0,110.0,383.0,8088.0,4387.0,0.0,596.0,1728.0,3667.0,9772.0,6075.0,9772.0,5.0,9768.0,9642.0,4040.0,9772.0,2895.0,364.0,7952.0,466.0,533.0,1324.0,9772.0,9772.0,3462.0,3901.0,4664.0,466.0,8092.0,9772.0,82.0,9770.0,3724.0
CD31,290.0,290.0,274.0,290.0,4.0,57.0,2.0,144.0,14.0,0.0,110.0,5.0,15.0,245.0,137.0,0.0,23.0,52.0,121.0,290.0,173.0,290.0,0.0,290.0,286.0,130.0,290.0,81.0,10.0,229.0,20.0,7.0,29.0,290.0,290.0,99.0,106.0,127.0,11.0,249.0,290.0,10.0,290.0,130.0
CD4,980.0,980.0,923.0,980.0,14.0,172.0,10.0,423.0,51.0,0.0,383.0,15.0,23.0,825.0,452.0,0.0,41.0,156.0,394.0,980.0,653.0,980.0,0.0,980.0,971.0,415.0,980.0,312.0,49.0,803.0,62.0,48.0,99.0,980.0,980.0,373.0,376.0,542.0,54.0,839.0,980.0,11.0,978.0,376.0
CD45,25239.0,25232.0,23194.0,25239.0,678.0,5118.0,247.0,11627.0,919.0,3.0,8088.0,245.0,825.0,10473.0,11462.0,0.0,1780.0,5118.0,8914.0,25239.0,15304.0,25239.0,10.0,25228.0,24770.0,10330.0,25239.0,7078.0,809.0,20053.0,1033.0,1292.0,4243.0,25239.0,25239.0,8311.0,9938.0,11779.0,1078.0,20407.0,25239.0,189.0,25236.0,9680.0
CD45RO,13741.0,13737.0,12438.0,13741.0,431.0,2950.0,126.0,6491.0,487.0,3.0,4387.0,137.0,452.0,11462.0,3252.0,0.0,1004.0,2995.0,4812.0,13741.0,8160.0,13741.0,7.0,13736.0,13474.0,5705.0,13741.0,3839.0,430.0,10747.0,536.0,706.0,2521.0,13741.0,13741.0,4454.0,5217.0,6308.0,580.0,11063.0,13741.0,107.0,13739.0,5226.0
CD56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD63,2144.0,2144.0,1884.0,2144.0,88.0,523.0,24.0,1064.0,58.0,0.0,596.0,23.0,41.0,1780.0,1004.0,0.0,105.0,560.0,677.0,2144.0,1244.0,2144.0,2.0,2143.0,2082.0,879.0,2144.0,573.0,56.0,1637.0,73.0,104.0,496.0,2144.0,2144.0,634.0,824.0,962.0,78.0,1703.0,2144.0,13.0,2144.0,825.0
CD68,6025.0,6024.0,5159.0,6025.0,304.0,1439.0,57.0,2957.0,186.0,0.0,1728.0,52.0,156.0,5118.0,2995.0,0.0,560.0,821.0,1929.0,6025.0,3154.0,6025.0,2.0,6023.0,5836.0,2431.0,6025.0,1516.0,143.0,4481.0,197.0,301.0,1518.0,6025.0,6025.0,1616.0,2267.0,2439.0,233.0,4610.0,6025.0,41.0,6024.0,2264.0
CD8,10735.0,10733.0,10043.0,10735.0,216.0,1958.0,102.0,4738.0,422.0,3.0,3667.0,121.0,394.0,8914.0,4812.0,0.0,677.0,1929.0,2039.0,10735.0,6508.0,10735.0,5.0,10731.0,10568.0,4400.0,10735.0,3152.0,361.0,8674.0,477.0,579.0,1514.0,10735.0,10735.0,3701.0,4253.0,5078.0,467.0,8799.0,10735.0,86.0,10734.0,4092.0
dsDNA,30526.0,30515.0,28190.0,30526.0,779.0,6030.0,313.0,13949.0,1094.0,4.0,9772.0,290.0,980.0,25239.0,13741.0,0.0,2144.0,6025.0,10735.0,15263.0,18879.0,30526.0,17.0,30513.0,29982.0,12525.0,30526.0,8651.0,1028.0,24426.0,1319.0,1560.0,4928.0,30526.0,30526.0,10273.0,12062.0,14459.0,1314.0,24805.0,30526.0,236.0,30520.0,11667.0
EGFR,18879.0,18873.0,18064.0,18879.0,345.0,3736.0,212.0,8432.0,703.0,3.0,6075.0,173.0,653.0,15304.0,8160.0,0.0,1244.0,3154.0,6508.0,18879.0,6996.0,18879.0,15.0,18876.0,18693.0,8399.0,18879.0,6107.0,840.0,15866.0,1052.0,982.0,2356.0,18879.0,18879.0,7301.0,7651.0,10549.0,884.0,16011.0,18879.0,191.0,18873.0,7437.0
Fe,30526.0,30515.0,28190.0,30526.0,779.0,6030.0,313.0,13949.0,1094.0,4.0,9772.0,290.0,980.0,25239.0,13741.0,0.0,2144.0,6025.0,10735.0,30526.0,18879.0,15263.0,17.0,30513.0,29982.0,12525.0,30526.0,8651.0,1028.0,24426.0,1319.0,1560.0,4928.0,30526.0,30526.0,10273.0,12062.0,14459.0,1314.0,24805.0,30526.0,236.0,30520.0,11667.0
FoxP3,17.0,17.0,17.0,17.0,0.0,1.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,10.0,7.0,0.0,2.0,2.0,5.0,17.0,15.0,17.0,1.0,17.0,17.0,4.0,17.0,3.0,3.0,13.0,3.0,0.0,2.0,17.0,17.0,15.0,7.0,4.0,0.0,16.0,17.0,0.0,17.0,4.0
H3K27me3,30513.0,30502.0,28179.0,30513.0,779.0,6030.0,313.0,13944.0,1094.0,4.0,9768.0,290.0,980.0,25228.0,13736.0,0.0,2143.0,6023.0,10731.0,30513.0,18876.0,30513.0,17.0,15250.0,29970.0,12523.0,30513.0,8647.0,1028.0,24416.0,1319.0,1559.0,4926.0,30513.0,30513.0,10269.0,12055.0,14457.0,1314.0,24797.0,30513.0,236.0,30507.0,11664.0
H3K9ac,29982.0,29971.0,27760.0,29982.0,740.0,5902.0,308.0,13665.0,1085.0,4.0,9642.0,286.0,971.0,24770.0,13474.0,0.0,2082.0,5836.0,10568.0,29982.0,18693.0,29982.0,17.0,29970.0,14737.0,12336.0,29982.0,8561.0,1024.0,24045.0,1310.0,1532.0,4745.0,29982.0,29982.0,10173.0,11849.0,14296.0,1303.0,24422.0,29982.0,236.0,29976.0,11473.0
HLA-DR,12525.0,12519.0,11686.0,12525.0,320.0,2632.0,124.0,5738.0,492.0,1.0,4040.0,130.0,415.0,10330.0,5705.0,0.0,879.0,2431.0,4400.0,12525.0,8399.0,12525.0,4.0,12523.0,12336.0,2832.0,12525.0,3830.0,481.0,10209.0,577.0,645.0,1882.0,12525.0,12525.0,4468.0,4866.0,6505.0,572.0,10398.0,12525.0,110.0,12522.0,4934.0
HLA_Class_1,30526.0,30515.0,28190.0,30526.0,779.0,6030.0,313.0,13949.0,1094.0,4.0,9772.0,290.0,980.0,25239.0,13741.0,0.0,2144.0,6025.0,10735.0,30526.0,18879.0,30526.0,17.0,30513.0,29982.0,12525.0,15263.0,8651.0,1028.0,24426.0,1319.0,1560.0,4928.0,30526.0,30526.0,10273.0,12062.0,14459.0,1314.0,24805.0,30526.0,236.0,30520.0,11667.0
IDO,8651.0,8649.0,8253.0,8651.0,150.0,1687.0,107.0,3928.0,380.0,1.0,2895.0,81.0,312.0,7078.0,3839.0,0.0,573.0,1516.0,3152.0,8651.0,6107.0,8651.0,3.0,8647.0,8561.0,3830.0,8651.0,1564.0,387.0,7214.0,430.0,443.0,1118.0,8651.0,8651.0,3257.0,3511.0,4872.0,439.0,7296.0,8651.0,104.0,8649.0,3404.0
Keratin17,1028.0,1028.0,1011.0,1028.0,12.0,180.0,17.0,439.0,47.0,1.0,364.0,10.0,49.0,809.0,430.0,0.0,56.0,143.0,361.0,1028.0,840.0,1028.0,3.0,1028.0,1024.0,481.0,1028.0,387.0,39.0,889.0,70.0,51.0,76.0,1028.0,1028.0,468.0,411.0,648.0,62.0,926.0,1028.0,19.0,1028.0,386.0
Keratin6,24426.0,24419.0,22893.0,24426.0,539.0,4652.0,260.0,11000.0,890.0,2.0,7952.0,229.0,803.0,20053.0,10747.0,0.0,1637.0,4481.0,8674.0,24426.0,15866.0,24426.0,13.0,24416.0,24045.0,10209.0,24426.0,7214.0,889.0,9970.0,1160.0,1254.0,3530.0,24426.0,24426.0,8646.0,9888.0,12125.0,1072.0,20143.0,24426.0,211.0,24420.0,9385.0
Ki67,1319.0,1319.0,1294.0,1319.0,19.0,215.0,17.0,552.0,47.0,0.0,466.0,20.0,62.0,1033.0,536.0,0.0,73.0,197.0,477.0,1319.0,1052.0,1319.0,3.0,1319.0,1310.0,577.0,1319.0,430.0,70.0,1160.0,52.0,79.0,129.0,1319.0,1319.0,580.0,563.0,752.0,73.0,1149.0,1319.0,30.0,1319.0,524.0
Lag3,1560.0,1559.0,1444.0,1560.0,39.0,269.0,12.0,691.0,57.0,0.0,533.0,7.0,48.0,1292.0,706.0,0.0,104.0,301.0,579.0,1560.0,982.0,1560.0,0.0,1559.0,1532.0,645.0,1560.0,443.0,51.0,1254.0,79.0,50.0,222.0,1560.0,1560.0,547.0,653.0,786.0,60.0,1284.0,1560.0,15.0,1559.0,562.0
MPO,4928.0,4927.0,4094.0,4928.0,285.0,1290.0,41.0,2515.0,147.0,0.0,1324.0,29.0,99.0,4243.0,2521.0,0.0,496.0,1518.0,1514.0,4928.0,2356.0,4928.0,2.0,4926.0,4745.0,1882.0,4928.0,1118.0,76.0,3530.0,129.0,222.0,724.0,4928.0,4928.0,1174.0,1843.0,1803.0,164.0,3662.0,4928.0,13.0,4928.0,1794.0
Na,30526.0,30515.0,28190.0,30526.0,779.0,6030.0,313.0,13949.0,1094.0,4.0,9772.0,290.0,980.0,25239.0,13741.0,0.0,2144.0,6025.0,10735.0,30526.0,18879.0,30526.0,17.0,30513.0,29982.0,12525.0,30526.0,8651.0,1028.0,24426.0,1319.0,1560.0,4928.0,15263.0,30526.0,10273.0,12062.0,14459.0,1314.0,24805.0,30526.0,236.0,30520.0,11667.0
P,30526.0,30515.0,28190.0,30526.0,779.0,6030.0,313.0,13949.0,1094.0,4.0,9772.0,290.0,980.0,25239.0,13741.0,0.0,2144.0,6025.0,10735.0,30526.0,18879.0,30526.0,17.0,30513.0,29982.0,12525.0,30526.0,8651.0,1028.0,24426.0,1319.0,1560.0,4928.0,30526.0,15263.0,10273.0,12062.0,14459.0,1314.0,24805.0,30526.0,236.0,30520.0,11667.0
p53,10273.0,10272.0,9885.0,10273.0,143.0,1819.0,102.0,4485.0,382.0,4.0,3462.0,99.0,373.0,8311.0,4454.0,0.0,634.0,1616.0,3701.0,10273.0,7301.0,10273.0,15.0,10269.0,10173.0,4468.0,10273.0,3257.0,468.0,8646.0,580.0,547.0,1174.0,10273.0,10273.0,2048.0,4190.0,5510.0,515.0,8663.0,10273.0,121.0,10271.0,4076.0
Pan-Keratin,12062.0,12059.0,11287.0,12062.0,258.0,2267.0,152.0,5403.0,383.0,1.0,3901.0,106.0,376.0,9938.0,5217.0,0.0,824.0,2267.0,4253.0,12062.0,7651.0,12062.0,7.0,12055.0,11849.0,4866.0,12062.0,3511.0,411.0,9888.0,563.0,653.0,1843.0,12062.0,12062.0,4190.0,2540.0,5847.0,549.0,9883.0,12062.0,91.0,12058.0,4602.0
PD-L1,14459.0,14454.0,13825.0,14459.0,259.0,2924.0,145.0,6504.0,576.0,0.0,4664.0,127.0,542.0,11779.0,6308.0,0.0,962.0,2439.0,5078.0,14459.0,10549.0,14459.0,4.0,14457.0,14296.0,6505.0,14459.0,4872.0,648.0,12125.0,752.0,786.0,1803.0,14459.0,14459.0,5510.0,5847.0,4146.0,692.0,12243.0,14459.0,135.0,14454.0,5618.0
PD1,1314.0,1314.0,1246.0,1314.0,22.0,235.0,13.0,594.0,44.0,0.0,466.0,11.0,54.0,1078.0,580.0,0.0,78.0,233.0,467.0,1314.0,884.0,1314.0,0.0,1314.0,1303.0,572.0,1314.0,439.0,62.0,1072.0,73.0,60.0,164.0,1314.0,1314.0,515.0,549.0,692.0,40.0,1119.0,1314.0,13.0,1313.0,520.0
phospho-S6,24805.0,24796.0,23150.0,24805.0,562.0,4797.0,266.0,11243.0,919.0,4.0,8092.0,249.0,839.0,20407.0,11063.0,0.0,1703.0,4610.0,8799.0,24805.0,16011.0,24805.0,16.0,24797.0,24422.0,10398.0,24805.0,7296.0,926.0,20143.0,1149.0,1284.0,3662.0,24805.0,24805.0,8663.0,9883.0,12243.0,1119.0,10228.0,24805.0,208.0,24800.0,9571.0
Si,30526.0,30515.0,28190.0,30526.0,779.0,6030.0,313.0,13949.0,1094.0,4.0,9772.0,290.0,980.0,25239.0,13741.0,0.0,2144.0,6025.0,10735.0,30526.0,18879.0,30526.0,17.0,30513.0,29982.0,12525.0,30526.0,8651.0,1028.0,24426.0,1319.0,1560.0,4928.0,30526.0,30526.0,10273.0,12062.0,14459.0,1314.0,24805.0,15263.0,236.0,30520.0,11667.0
SMA,236.0,236.0,233.0,236.0,2.0,35.0,3.0,103.0,15.0,0.0,82.0,10.0,11.0,189.0,107.0,0.0,13.0,41.0,86.0,236.0,191.0,236.0,0.0,236.0,236.0,110.0,236.0,104.0,19.0,211.0,30.0,15.0,13.0,236.0,236.0,121.0,91.0,135.0,13.0,208.0,236.0,3.0,236.0,104.0
Ta,30520.0,30509.0,28184.0,30520.0,779.0,6029.0,313.0,13948.0,1094.0,4.0,9770.0,290.0,978.0,25236.0,13739.0,0.0,2144.0,6024.0,10734.0,30520.0,18873.0,30520.0,17.0,30507.0,29976.0,12522.0,30520.0,8649.0,1028.0,24420.0,1319.0,1559.0,4928.0,30520.0,30520.0,10271.0,12058.0,14454.0,1313.0,24800.0,30520.0,236.0,15257.0,11666.0
Vimentin,11667.0,11664.0,10862.0,11667.0,261.0,2335.0,107.0,5402.0,449.0,2.0,3724.0,130.0,376.0,9680.0,5226.0,0.0,825.0,2264.0,4092.0,11667.0,7437.0,11667.0,4.0,11664.0,11473.0,4934.0,11667.0,3404.0,386.0,9385.0,524.0,562.0,1794.0,11667.0,11667.0,4076.0,4602.0,5618.0,520.0,9571.0,11667.0,104.0,11666.0,2357.0
