,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,0.0,4578.0,3014.0,4579.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,4579.0,1722.0,4579.0,51.0,4427.0,4574.0,4303.0,4579.0,943.0,411.0,2560.0,672.0,458.0,261.0,4579.0,4579.0,318.0,2129.0,1901.0,729.0,4455.0,4579.0,1759.0,4579.0,3378.0
Background,4578.0,0.0,3013.0,4578.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3998.0,3695.0,95.0,2297.0,2277.0,1633.0,4578.0,1722.0,4578.0,51.0,4426.0,4573.0,4302.0,4578.0,943.0,411.0,2559.0,672.0,457.0,261.0,4578.0,4578.0,318.0,2128.0,1901.0,729.0,4454.0,4578.0,1759.0,4578.0,3377.0
Beta catenin,3014.0,3013.0,0.0,3014.0,887.0,1175.0,1429.0,2061.0,123.0,19.0,1076.0,360.0,800.0,2469.0,2284.0,66.0,1750.0,1253.0,1020.0,3014.0,1676.0,3014.0,27.0,2864.0,3010.0,2907.0,3014.0,638.0,394.0,2268.0,504.0,303.0,175.0,3014.0,3014.0,285.0,2023.0,1368.0,496.0,2984.0,3014.0,1184.0,3014.0,1943.0
Ca,4579.0,4578.0,3014.0,0.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,4579.0,1722.0,4579.0,51.0,4427.0,4574.0,4303.0,4579.0,943.0,411.0,2560.0,672.0,458.0,261.0,4579.0,4579.0,318.0,2129.0,1901.0,729.0,4455.0,4579.0,1759.0,4579.0,3378.0
CD11b,1427.0,1427.0,887.0,1427.0,0.0,1200.0,610.0,1386.0,69.0,27.0,768.0,217.0,903.0,1411.0,1390.0,68.0,978.0,1170.0,680.0,1427.0,445.0,1427.0,24.0,1421.0,1425.0,1419.0,1427.0,598.0,76.0,763.0,207.0,259.0,164.0,1427.0,1427.0,50.0,565.0,1026.0,393.0,1424.0,1427.0,628.0,1427.0,1318.0
CD11c,2073.0,2073.0,1175.0,2073.0,1200.0,0.0,992.0,2031.0,124.0,35.0,1135.0,347.0,1143.0,2069.0,2040.0,82.0,1164.0,1553.0,954.0,2073.0,469.0,2073.0,35.0,2064.0,2073.0,2053.0,2073.0,747.0,81.0,901.0,280.0,295.0,163.0,2073.0,2073.0,89.0,610.0,1199.0,491.0,2051.0,2073.0,1042.0,2073.0,1962.0
CD138,1957.0,1957.0,1429.0,1957.0,610.0,992.0,0.0,1501.0,80.0,47.0,838.0,280.0,635.0,1717.0,1645.0,44.0,1044.0,968.0,694.0,1957.0,768.0,1957.0,28.0,1914.0,1957.0,1891.0,1957.0,456.0,236.0,1139.0,325.0,176.0,101.0,1957.0,1957.0,183.0,949.0,903.0,347.0,1932.0,1957.0,855.0,1957.0,1415.0
CD16,3370.0,3370.0,2061.0,3370.0,1386.0,2031.0,1501.0,0.0,196.0,66.0,1554.0,506.0,1358.0,3288.0,3090.0,88.0,1755.0,2174.0,1361.0,3370.0,1010.0,3370.0,49.0,3338.0,3370.0,3269.0,3370.0,885.0,254.0,1658.0,467.0,403.0,246.0,3370.0,3370.0,198.0,1278.0,1559.0,640.0,3317.0,3370.0,1499.0,3370.0,2931.0
CD20,238.0,238.0,123.0,238.0,69.0,124.0,80.0,196.0,0.0,13.0,140.0,27.0,91.0,234.0,223.0,7.0,107.0,124.0,119.0,238.0,56.0,238.0,3.0,238.0,238.0,229.0,238.0,61.0,16.0,115.0,41.0,31.0,24.0,238.0,238.0,18.0,86.0,97.0,58.0,229.0,238.0,103.0,238.0,212.0
CD209,71.0,71.0,19.0,71.0,27.0,35.0,47.0,66.0,13.0,0.0,31.0,14.0,47.0,71.0,68.0,2.0,35.0,59.0,13.0,71.0,5.0,71.0,2.0,71.0,71.0,68.0,71.0,14.0,5.0,16.0,6.0,5.0,3.0,71.0,71.0,1.0,8.0,19.0,10.0,68.0,71.0,35.0,71.0,71.0
