,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
CD3,1815.0,1815.0,1076.0,1815.0,768.0,1135.0,838.0,1554.0,140.0,31.0,0.0,209.0,984.0,1814.0,1801.0,49.0,940.0,1141.0,1155.0,1815.0,502.0,1815.0,48.0,1812.0,1814.0,1734.0,1815.0,533.0,98.0,889.0,290.0,406.0,145.0,1815.0,1815.0,96.0,626.0,935.0,657.0,1791.0,1815.0,852.0,1815.0,1652.0
CD31,565.0,565.0,360.0,565.0,217.0,347.0,280.0,506.0,27.0,14.0,209.0,0.0,199.0,559.0,525.0,22.0,209.0,374.0,193.0,565.0,79.0,565.0,12.0,565.0,565.0,526.0,565.0,147.0,12.0,189.0,72.0,56.0,15.0,565.0,565.0,30.0,107.0,200.0,76.0,562.0,565.0,373.0,565.0,537.0
CD4,1405.0,1405.0,800.0,1405.0,903.0,1143.0,635.0,1358.0,91.0,47.0,984.0,199.0,0.0,1405.0,1403.0,65.0,871.0,1140.0,651.0,1405.0,338.0,1405.0,37.0,1403.0,1405.0,1387.0,1405.0,544.0,54.0,656.0,194.0,269.0,122.0,1405.0,1405.0,55.0,423.0,926.0,472.0,1397.0,1405.0,674.0,1405.0,1349.0
CD45,3999.0,3998.0,2469.0,3999.0,1411.0,2069.0,1717.0,3288.0,234.0,71.0,1814.0,559.0,1405.0,0.0,3569.0,93.0,1958.0,2262.0,1626.0,3999.0,1262.0,3999.0,51.0,3958.0,3997.0,3763.0,3999.0,932.0,315.0,2027.0,558.0,458.0,261.0,3999.0,3999.0,258.0,1604.0,1691.0,726.0,3906.0,3999.0,1711.0,3999.0,3321.0
CD45RO,3696.0,3695.0,2284.0,3696.0,1390.0,2040.0,1645.0,3090.0,223.0,68.0,1801.0,525.0,1403.0,3569.0,0.0,93.0,1901.0,2195.0,1578.0,3696.0,1172.0,3696.0,51.0,3672.0,3695.0,3532.0,3696.0,920.0,323.0,1878.0,562.0,457.0,254.0,3696.0,3696.0,254.0,1465.0,1650.0,725.0,3641.0,3696.0,1602.0,3696.0,3122.0
CD56,95.0,95.0,66.0,95.0,68.0,82.0,44.0,88.0,7.0,2.0,49.0,22.0,65.0,93.0,93.0,0.0,64.0,75.0,48.0,95.0,18.0,95.0,1.0,95.0,95.0,93.0,95.0,69.0,7.0,45.0,11.0,14.0,7.0,95.0,95.0,8.0,27.0,63.0,20.0,95.0,95.0,56.0,95.0,91.0
CD63,2298.0,2297.0,1750.0,2298.0,978.0,1164.0,1044.0,1755.0,107.0,35.0,940.0,209.0,871.0,1958.0,1901.0,64.0,0.0,1356.0,882.0,2298.0,1193.0,2298.0,24.0,2227.0,2296.0,2283.0,2298.0,618.0,262.0,1643.0,383.0,298.0,200.0,2298.0,2298.0,161.0,1417.0,1364.0,451.0,2285.0,2298.0,739.0,2298.0,1595.0
CD68,2277.0,2277.0,1253.0,2277.0,1170.0,1553.0,968.0,2174.0,124.0,59.0,1141.0,374.0,1140.0,2262.0,2195.0,75.0,1356.0,0.0,987.0,2277.0,545.0,2277.0,38.0,2272.0,2277.0,2231.0,2277.0,692.0,125.0,1031.0,314.0,315.0,205.0,2277.0,2277.0,110.0,717.0,1198.0,494.0,2266.0,2277.0,1056.0,2277.0,2165.0
CD8,1633.0,1633.0,1020.0,1633.0,680.0,954.0,694.0,1361.0,119.0,13.0,1155.0,193.0,651.0,1626.0,1578.0,48.0,882.0,987.0,0.0,1633.0,545.0,1633.0,24.0,1619.0,1633.0,1566.0,1633.0,463.0,110.0,896.0,262.0,349.0,126.0,1633.0,1633.0,89.0,678.0,838.0,475.0,1616.0,1633.0,711.0,1633.0,1416.0
dsDNA,4579.0,4578.0,3014.0,4579.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,0.0,1722.0,4579.0,51.0,4427.0,4574.0,4303.0,4579.0,943.0,411.0,2560.0,672.0,458.0,261.0,4579.0,4579.0,318.0,2129.0,1901.0,729.0,4455.0,4579.0,1759.0,4579.0,3378.0
EGFR,1722.0,1722.0,1676.0,1722.0,445.0,469.0,768.0,1010.0,56.0,5.0,502.0,79.0,338.0,1262.0,1172.0,18.0,1193.0,545.0,545.0,1722.0,0.0,1722.0,7.0,1595.0,1718.0,1703.0,1722.0,290.0,323.0,1661.0,359.0,178.0,108.0,1722.0,1722.0,182.0,1608.0,898.0,270.0,1711.0,1722.0,324.0,1722.0,799.0
Fe,4579.0,4578.0,3014.0,4579.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,4579.0,1722.0,0.0,51.0,4427.0,4574.0,4303.0,4579.0,943.0,411.0,2560.0,672.0,458.0,261.0,4579.0,4579.0,318.0,2129.0,1901.0,729.0,4455.0,4579.0,1759.0,4579.0,3378.0
FoxP3,51.0,51.0,27.0,51.0,24.0,35.0,28.0,49.0,3.0,2.0,48.0,12.0,37.0,51.0,51.0,1.0,24.0,38.0,24.0,51.0,7.0,51.0,0.0,51.0,51.0,49.0,51.0,19.0,2.0,24.0,16.0,9.0,6.0,51.0,51.0,3.0,13.0,27.0,8.0,51.0,51.0,29.0,51.0,50.0
H3K27me3,4427.0,4426.0,2864.0,4427.0,1421.0,2064.0,1914.0,3338.0,238.0,71.0,1812.0,565.0,1403.0,3958.0,3672.0,95.0,2227.0,2272.0,1619.0,4427.0,1595.0,4427.0,51.0,0.0,4424.0,4156.0,4427.0,942.0,401.0,2408.0,651.0,458.0,260.0,4427.0,4427.0,310.0,1979.0,1861.0,729.0,4306.0,4427.0,1759.0,4427.0,3367.0
H3K9ac,4574.0,4573.0,3010.0,4574.0,1425.0,2073.0,1957.0,3370.0,238.0,71.0,1814.0,565.0,1405.0,3997.0,3695.0,95.0,2296.0,2277.0,1633.0,4574.0,1718.0,4574.0,51.0,4424.0,0.0,4299.0,4574.0,942.0,411.0,2556.0,672.0,458.0,261.0,4574.0,4574.0,318.0,2125.0,1900.0,729.0,4451.0,4574.0,1757.0,4574.0,3377.0
HLA-DR,4303.0,4302.0,2907.0,4303.0,1419.0,2053.0,1891.0,3269.0,229.0,68.0,1734.0,526.0,1387.0,3763.0,3532.0,93.0,2283.0,2231.0,1566.0,4303.0,1703.0,4303.0,49.0,4156.0,4299.0,0.0,4303.0,937.0,397.0,2501.0,656.0,453.0,257.0,4303.0,4303.0,314.0,2097.0,1896.0,717.0,4230.0,4303.0,1605.0,4303.0,3159.0
HLA_Class_1,4579.0,4578.0,3014.0,4579.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,4579.0,1722.0,4579.0,51.0,4427.0,4574.0,4303.0,0.0,943.0,411.0,2560.0,672.0,458.0,261.0,4579.0,4579.0,318.0,2129.0,1901.0,729.0,4455.0,4579.0,1759.0,4579.0,3378.0
IDO,943.0,943.0,638.0,943.0,598.0,747.0,456.0,885.0,61.0,14.0,533.0,147.0,544.0,932.0,920.0,69.0,618.0,692.0,463.0,943.0,290.0,943.0,19.0,942.0,942.0,937.0,943.0,0.0,63.0,519.0,139.0,154.0,109.0,943.0,943.0,65.0,370.0,638.0,233.0,935.0,943.0,516.0,943.0,885.0
Keratin17,411.0,411.0,394.0,411.0,76.0,81.0,236.0,254.0,16.0,5.0,98.0,12.0,54.0,315.0,323.0,7.0,262.0,125.0,110.0,411.0,323.0,411.0,2.0,401.0,411.0,397.0,411.0,63.0,0.0,389.0,130.0,20.0,16.0,411.0,411.0,108.0,362.0,214.0,51.0,407.0,411.0,85.0,411.0,169.0
Keratin6,2560.0,2559.0,2268.0,2560.0,763.0,901.0,1139.0,1658.0,115.0,16.0,889.0,189.0,656.0,2027.0,1878.0,45.0,1643.0,1031.0,896.0,2560.0,1661.0,2560.0,24.0,2408.0,2556.0,2501.0,2560.0,519.0,389.0,0.0,472.0,292.0,179.0,2560.0,2560.0,264.0,2049.0,1253.0,452.0,2536.0,2560.0,715.0,2560.0,1478.0
Ki67,672.0,672.0,504.0,672.0,207.0,280.0,325.0,467.0,41.0,6.0,290.0,72.0,194.0,558.0,562.0,11.0,383.0,314.0,262.0,672.0,359.0,672.0,16.0,651.0,672.0,656.0,672.0,139.0,130.0,472.0,0.0,112.0,35.0,672.0,672.0,102.0,407.0,329.0,138.0,670.0,672.0,203.0,672.0,421.0
Lag3,458.0,457.0,303.0,458.0,259.0,295.0,176.0,403.0,31.0,5.0,406.0,56.0,269.0,458.0,457.0,14.0,298.0,315.0,349.0,458.0,178.0,458.0,9.0,458.0,458.0,453.0,458.0,154.0,20.0,292.0,112.0,0.0,42.0,458.0,458.0,17.0,204.0,299.0,264.0,458.0,458.0,192.0,458.0,424.0
MPO,261.0,261.0,175.0,261.0,164.0,163.0,101.0,246.0,24.0,3.0,145.0,15.0,122.0,261.0,254.0,7.0,200.0,205.0,126.0,261.0,108.0,261.0,6.0,260.0,261.0,257.0,261.0,109.0,16.0,179.0,35.0,42.0,0.0,261.0,261.0,10.0,138.0,139.0,55.0,258.0,261.0,105.0,261.0,253.0
Na,4579.0,4578.0,3014.0,4579.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,4579.0,1722.0,4579.0,51.0,4427.0,4574.0,4303.0,4579.0,943.0,411.0,2560.0,672.0,458.0,261.0,0.0,4579.0,318.0,2129.0,1901.0,729.0,4455.0,4579.0,1759.0,4579.0,3378.0
P,4579.0,4578.0,3014.0,4579.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,4579.0,1722.0,4579.0,51.0,4427.0,4574.0,4303.0,4579.0,943.0,411.0,2560.0,672.0,458.0,261.0,4579.0,0.0,318.0,2129.0,1901.0,729.0,4455.0,4579.0,1759.0,4579.0,3378.0
p53,318.0,318.0,285.0,318.0,50.0,89.0,183.0,198.0,18.0,1.0,96.0,30.0,55.0,258.0,254.0,8.0,161.0,110.0,89.0,318.0,182.0,318.0,3.0,310.0,318.0,314.0,318.0,65.0,108.0,264.0,102.0,17.0,10.0,318.0,318.0,0.0,231.0,143.0,42.0,316.0,318.0,119.0,318.0,177.0
Pan-Keratin,2129.0,2128.0,2023.0,2129.0,565.0,610.0,949.0,1278.0,86.0,8.0,626.0,107.0,423.0,1604.0,1465.0,27.0,1417.0,717.0,678.0,2129.0,1608.0,2129.0,13.0,1979.0,2125.0,2097.0,2129.0,370.0,362.0,2049.0,407.0,204.0,138.0,2129.0,2129.0,231.0,0.0,1043.0,328.0,2110.0,2129.0,437.0,2129.0,1072.0
PD-L1,1901.0,1901.0,1368.0,1901.0,1026.0,1199.0,903.0,1559.0,97.0,19.0,935.0,200.0,926.0,1691.0,1650.0,63.0,1364.0,1198.0,838.0,1901.0,898.0,1901.0,27.0,1861.0,1900.0,1896.0,1901.0,638.0,214.0,1253.0,329.0,299.0,139.0,1901.0,1901.0,143.0,1043.0,0.0,522.0,1898.0,1901.0,665.0,1901.0,1396.0
PD1,729.0,729.0,496.0,729.0,393.0,491.0,347.0,640.0,58.0,10.0,657.0,76.0,472.0,726.0,725.0,20.0,451.0,494.0,475.0,729.0,270.0,729.0,8.0,729.0,729.0,717.0,729.0,233.0,51.0,452.0,138.0,264.0,55.0,729.0,729.0,42.0,328.0,522.0,0.0,727.0,729.0,309.0,729.0,647.0
phospho-S6,4455.0,4454.0,2984.0,4455.0,1424.0,2051.0,1932.0,3317.0,229.0,68.0,1791.0,562.0,1397.0,3906.0,3641.0,95.0,2285.0,2266.0,1616.0,4455.0,1711.0,4455.0,51.0,4306.0,4451.0,4230.0,4455.0,935.0,407.0,2536.0,670.0,458.0,258.0,4455.0,4455.0,316.0,2110.0,1898.0,727.0,0.0,4455.0,1709.0,4455.0,3298.0
Si,4579.0,4578.0,3014.0,4579.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,4579.0,1722.0,4579.0,51.0,4427.0,4574.0,4303.0,4579.0,943.0,411.0,2560.0,672.0,458.0,261.0,4579.0,4579.0,318.0,2129.0,1901.0,729.0,4455.0,0.0,1759.0,4579.0,3378.0
SMA,1759.0,1759.0,1184.0,1759.0,628.0,1042.0,855.0,1499.0,103.0,35.0,852.0,373.0,674.0,1711.0,1602.0,56.0,739.0,1056.0,711.0,1759.0,324.0,1759.0,29.0,1759.0,1757.0,1605.0,1759.0,516.0,85.0,715.0,203.0,192.0,105.0,1759.0,1759.0,119.0,437.0,665.0,309.0,1709.0,1759.0,0.0,1759.0,1726.0
Ta,4579.0,4578.0,3014.0,4579.0,1427.0,2073.0,1957.0,3370.0,238.0,71.0,1815.0,565.0,1405.0,3999.0,3696.0,95.0,2298.0,2277.0,1633.0,4579.0,1722.0,4579.0,51.0,4427.0,4574.0,4303.0,4579.0,943.0,411.0,2560.0,672.0,458.0,261.0,4579.0,4579.0,318.0,2129.0,1901.0,729.0,4455.0,4579.0,1759.0,0.0,3378.0
Vimentin,3378.0,3377.0,1943.0,3378.0,1318.0,1962.0,1415.0,2931.0,212.0,71.0,1652.0,537.0,1349.0,3321.0,3122.0,91.0,1595.0,2165.0,1416.0,3378.0,799.0,3378.0,50.0,3367.0,3377.0,3159.0,3378.0,885.0,169.0,1478.0,421.0,424.0,253.0,3378.0,3378.0,177.0,1072.0,1396.0,647.0,3298.0,3378.0,1726.0,3378.0,0.0
