row,column,celltype
29.0,66.0,4.0
32.0,84.0,4.0
34.0,100.0,4.0
31.0,121.0,4.0
33.0,161.0,4.0
34.0,183.0,16.0
30.0,200.0,4.0
37.0,217.0,7.0
34.0,238.0,14.0
40.0,281.0,16.0
37.0,334.0,4.0
30.0,355.0,16.0
40.0,389.0,4.0
36.0,411.0,4.0
40.0,448.0,16.0
36.0,472.0,16.0
36.0,489.0,2.0
41.0,523.0,12.0
33.0,540.0,16.0
30.0,557.0,16.0
39.0,566.0,16.0
40.0,583.0,12.0
35.0,603.0,12.0
37.0,628.0,12.0
35.0,647.0,12.0
36.0,673.0,12.0
40.0,695.0,16.0
30.0,711.0,16.0
38.0,739.0,12.0
34.0,775.0,15.0
31.0,793.0,7.0
31.0,832.0,14.0
37.0,852.0,15.0
36.0,899.0,12.0
32.0,919.0,4.0
34.0,938.0,15.0
37.0,964.0,15.0
43.0,984.0,10.0
33.0,992.0,14.0
39.0,1005.0,14.0
37.0,1098.0,16.0
34.0,1121.0,15.0
33.0,1195.0,12.0
32.0,1206.0,12.0
32.0,1220.0,14.0
33.0,1270.0,12.0
37.0,1291.0,7.0
39.0,1308.0,7.0
40.0,1333.0,4.0
33.0,1417.0,4.0
34.0,1451.0,4.0
46.0,1472.0,4.0
31.0,1485.0,4.0
36.0,1524.0,4.0
38.0,1551.0,4.0
33.0,1593.0,4.0
31.0,1610.0,4.0
38.0,1620.0,4.0
46.0,1655.0,4.0
35.0,1681.0,4.0
38.0,1713.0,4.0
38.0,1747.0,4.0
30.0,1780.0,3.0
44.0,1855.0,12.0
40.0,1886.0,4.0
34.0,1912.0,4.0
37.0,1932.0,4.0
32.0,1950.0,4.0
42.0,1972.0,4.0
44.0,2004.0,4.0
41.0,804.0,12.0
49.0,258.0,16.0
41.0,71.0,4.0
43.0,719.0,7.0
42.0,1031.0,12.0
44.0,820.0,12.0
39.0,1381.0,4.0
59.0,1398.0,4.0
50.0,882.0,12.0
41.0,1376.0,4.0
61.0,1488.0,4.0
53.0,1511.0,4.0
48.0,1779.0,4.0
46.0,119.0,4.0
47.0,143.0,4.0
46.0,429.0,16.0
48.0,550.0,16.0
