row,column,celltype
47.0,66.0,4.0
31.0,120.0,4.0
54.0,141.0,4.0
32.0,153.0,12.0
42.0,213.0,12.0
38.0,242.0,12.0
36.0,266.0,12.0
31.0,277.0,15.0
46.0,328.0,15.0
32.0,332.0,12.0
39.0,368.0,4.0
38.0,415.0,4.0
44.0,454.0,4.0
37.0,500.0,4.0
37.0,864.0,4.0
39.0,884.0,12.0
46.0,993.0,15.0
33.0,1101.0,16.0
36.0,1117.0,16.0
36.0,1130.0,16.0
37.0,1143.0,14.0
31.0,1187.0,7.0
32.0,1212.0,7.0
34.0,1319.0,6.0
36.0,1339.0,16.0
44.0,1400.0,3.0
33.0,1426.0,1.0
31.0,1563.0,10.0
45.0,1576.0,14.0
32.0,1605.0,3.0
31.0,1841.0,10.0
44.0,1853.0,7.0
32.0,1964.0,4.0
43.0,1981.0,4.0
39.0,2004.0,4.0
43.0,830.0,4.0
36.0,1391.0,3.0
52.0,564.0,4.0
49.0,297.0,15.0
40.0,1195.0,6.0
47.0,1719.0,1.0
47.0,1959.0,4.0
45.0,1288.0,3.0
44.0,1160.0,11.0
46.0,1417.0,7.0
62.0,520.0,4.0
47.0,1174.0,11.0
52.0,1886.0,9.0
53.0,627.0,4.0
49.0,951.0,12.0
53.0,1053.0,16.0
63.0,282.0,16.0
52.0,1075.0,16.0
59.0,1201.0,8.0
54.0,1740.0,16.0
56.0,171.0,4.0
57.0,972.0,16.0
53.0,1342.0,7.0
52.0,1941.0,4.0
57.0,258.0,14.0
58.0,1220.0,15.0
58.0,1900.0,9.0
67.0,108.0,4.0
55.0,1261.0,16.0
59.0,235.0,16.0
51.0,1141.0,7.0
62.0,1036.0,16.0
55.0,1241.0,15.0
62.0,1152.0,11.0
62.0,1101.0,16.0
64.0,1788.0,7.0
64.0,2001.0,4.0
65.0,1288.0,3.0
59.0,1366.0,3.0
68.0,1130.0,16.0
61.0,1828.0,14.0
72.0,1591.0,6.0
65.0,1177.0,12.0
71.0,1859.0,14.0
71.0,324.0,15.0
89.0,395.0,4.0
67.0,910.0,16.0
64.0,958.0,3.0
66.0,1546.0,1.0
68.0,217.0,12.0
67.0,859.0,3.0
70.0,1569.0,14.0
76.0,1410.0,16.0
74.0,1631.0,12.0
