row,column,celltype
41.0,41.0,4.0
45.0,80.0,4.0
34.0,120.0,14.0
34.0,183.0,4.0
35.0,202.0,4.0
41.0,220.0,4.0
32.0,243.0,4.0
35.0,263.0,4.0
42.0,288.0,4.0
36.0,351.0,16.0
41.0,371.0,2.0
41.0,499.0,3.0
34.0,522.0,3.0
47.0,547.0,4.0
31.0,556.0,4.0
35.0,585.0,4.0
51.0,631.0,4.0
40.0,653.0,4.0
33.0,690.0,15.0
33.0,729.0,4.0
37.0,761.0,4.0
35.0,784.0,4.0
39.0,801.0,4.0
35.0,819.0,4.0
39.0,856.0,4.0
46.0,881.0,4.0
36.0,984.0,4.0
37.0,1009.0,4.0
37.0,1054.0,12.0
34.0,1136.0,4.0
32.0,1213.0,12.0
34.0,1263.0,12.0
32.0,1309.0,12.0
36.0,1343.0,9.0
35.0,1366.0,7.0
34.0,1397.0,6.0
31.0,1421.0,12.0
39.0,1434.0,6.0
31.0,1462.0,12.0
32.0,1481.0,12.0
47.0,1511.0,4.0
36.0,1535.0,4.0
44.0,1555.0,4.0
38.0,1589.0,4.0
49.0,1640.0,4.0
40.0,1671.0,12.0
30.0,1675.0,12.0
32.0,1711.0,4.0
40.0,1743.0,12.0
33.0,1767.0,4.0
36.0,1789.0,2.0
37.0,1850.0,4.0
31.0,1874.0,4.0
47.0,1904.0,4.0
37.0,1961.0,12.0
36.0,2004.0,12.0
51.0,441.0,16.0
43.0,1107.0,4.0
46.0,472.0,3.0
42.0,1696.0,3.0
42.0,1160.0,4.0
47.0,1298.0,7.0
56.0,672.0,4.0
51.0,1278.0,12.0
49.0,1933.0,4.0
48.0,59.0,4.0
46.0,1028.0,12.0
48.0,1124.0,4.0
51.0,845.0,4.0
44.0,1418.0,6.0
53.0,831.0,4.0
56.0,1879.0,4.0
56.0,253.0,4.0
48.0,702.0,3.0
54.0,732.0,4.0
45.0,746.0,4.0
45.0,1472.0,12.0
56.0,609.0,4.0
48.0,1485.0,12.0
65.0,1575.0,4.0
57.0,1860.0,4.0
56.0,133.0,12.0
54.0,153.0,11.0
49.0,183.0,4.0
60.0,958.0,4.0
59.0,1374.0,7.0
63.0,1442.0,4.0
47.0,1571.0,4.0
