row,column,celltype
41.0,209.0,4.0
35.0,231.0,4.0
42.0,255.0,4.0
36.0,275.0,7.0
33.0,337.0,4.0
42.0,360.0,8.0
33.0,370.0,4.0
37.0,386.0,4.0
44.0,407.0,3.0
31.0,422.0,4.0
34.0,439.0,4.0
39.0,459.0,4.0
37.0,483.0,7.0
49.0,497.0,4.0
32.0,546.0,7.0
44.0,574.0,4.0
37.0,588.0,10.0
43.0,626.0,4.0
53.0,650.0,4.0
32.0,671.0,4.0
34.0,690.0,7.0
33.0,744.0,4.0
32.0,798.0,4.0
32.0,824.0,8.0
35.0,907.0,4.0
34.0,927.0,4.0
36.0,992.0,4.0
44.0,1032.0,4.0
33.0,1047.0,4.0
47.0,1064.0,4.0
32.0,1080.0,4.0
43.0,1173.0,4.0
32.0,1207.0,4.0
34.0,1228.0,4.0
42.0,1273.0,4.0
31.0,1287.0,4.0
39.0,1418.0,4.0
41.0,1443.0,4.0
32.0,1478.0,4.0
32.0,1491.0,4.0
44.0,1541.0,4.0
40.0,1559.0,4.0
31.0,1575.0,4.0
41.0,1590.0,4.0
33.0,1604.0,4.0
30.0,1618.0,4.0
35.0,1632.0,4.0
31.0,1662.0,4.0
44.0,1761.0,11.0
49.0,1798.0,4.0
46.0,887.0,4.0
40.0,869.0,7.0
47.0,326.0,4.0
44.0,552.0,4.0
48.0,1328.0,4.0
52.0,781.0,4.0
46.0,796.0,4.0
55.0,1725.0,4.0
52.0,524.0,4.0
53.0,676.0,4.0
47.0,1211.0,4.0
45.0,1246.0,4.0
53.0,348.0,8.0
56.0,1308.0,4.0
54.0,1370.0,4.0
63.0,1383.0,4.0
47.0,1682.0,12.0
64.0,700.0,4.0
68.0,442.0,4.0
53.0,232.0,4.0
71.0,306.0,4.0
58.0,918.0,7.0
60.0,182.0,4.0
54.0,378.0,4.0
52.0,867.0,7.0
60.0,901.0,15.0
71.0,936.0,4.0
63.0,1239.0,4.0
57.0,215.0,4.0
57.0,1566.0,4.0
65.0,1687.0,4.0
64.0,271.0,4.0
62.0,806.0,4.0
61.0,601.0,4.0
62.0,1433.0,4.0
67.0,393.0,8.0
71.0,417.0,4.0
62.0,559.0,4.0
61.0,1282.0,4.0
65.0,1814.0,4.0
65.0,1416.0,4.0
62.0,1019.0,7.0
69.0,472.0,4.0
62.0,537.0,4.0
73.0,1517.0,4.0
65.0,580.0,4.0
75.0,1114.0,4.0
67.0,1212.0,4.0
80.0,881.0,4.0
76.0,1545.0,4.0
73.0,1162.0,4.0
75.0,1192.0,4.0
69.0,1295.0,4.0
78.0,1597.0,4.0
74.0,374.0,7.0
73.0,1325.0,4.0
73.0,1846.0,4.0
77.0,513.0,4.0
73.0,1064.0,4.0
77.0,1574.0,4.0
79.0,1829.0,11.0
79.0,634.0,4.0
78.0,984.0,4.0
74.0,787.0,7.0
72.0,775.0,7.0
76.0,1282.0,4.0
83.0,1709.0,4.0
80.0,1861.0,4.0
84.0,231.0,4.0
80.0,1227.0,7.0
88.0,547.0,4.0
84.0,667.0,8.0
89.0,1506.0,4.0
88.0,1654.0,4.0
82.0,1737.0,4.0
90.0,686.0,4.0
79.0,823.0,7.0
86.0,1299.0,4.0
92.0,1483.0,4.0
95.0,614.0,4.0
87.0,808.0,4.0
83.0,954.0,7.0
86.0,1790.0,4.0
82.0,576.0,4.0
91.0,788.0,4.0
86.0,971.0,4.0
89.0,1013.0,4.0
87.0,397.0,4.0
93.0,743.0,4.0
100.0,1098.0,4.0
83.0,1344.0,4.0
87.0,1804.0,4.0
92.0,1423.0,4.0
87.0,1688.0,4.0
91.0,858.0,7.0
101.0,997.0,4.0
96.0,479.0,3.0
87.0,1874.0,11.0
92.0,460.0,4.0
94.0,1075.0,4.0
105.0,203.0,4.0
95.0,1821.0,4.0
97.0,1883.0,11.0
96.0,1847.0,11.0
97.0,1317.0,4.0
102.0,1403.0,4.0
103.0,143.0,4.0
101.0,1159.0,4.0
99.0,1253.0,4.0
98.0,652.0,4.0
99.0,836.0,4.0
105.0,1284.0,4.0
102.0,296.0,4.0
109.0,1644.0,4.0
100.0,1753.0,4.0
98.0,331.0,4.0
107.0,412.0,4.0
98.0,583.0,4.0
100.0,904.0,4.0
109.0,1200.0,4.0
97.0,1527.0,4.0
94.0,1577.0,4.0
104.0,1722.0,11.0
103.0,1461.0,4.0
94.0,1555.0,4.0
104.0,521.0,4.0
99.0,717.0,4.0
98.0,948.0,7.0
110.0,1351.0,4.0
99.0,1123.0,4.0
106.0,1773.0,4.0
96.0,927.0,4.0
107.0,269.0,7.0
109.0,769.0,4.0
104.0,251.0,4.0
106.0,812.0,4.0
117.0,1561.0,4.0
121.0,1677.0,4.0
119.0,170.0,4.0
110.0,1540.0,4.0
110.0,353.0,7.0
118.0,703.0,4.0
118.0,1127.0,4.0
108.0,1586.0,4.0
117.0,1791.0,4.0
107.0,232.0,4.0
113.0,1234.0,4.0
118.0,665.0,4.0
109.0,1022.0,4.0
111.0,1041.0,4.0
116.0,459.0,12.0
117.0,933.0,4.0
116.0,1514.0,4.0
122.0,1620.0,4.0
116.0,1862.0,11.0
122.0,792.0,4.0
112.0,1435.0,4.0
114.0,574.0,4.0
124.0,1879.0,4.0
119.0,112.0,4.0
122.0,731.0,4.0
121.0,1734.0,4.0
115.0,323.0,7.0
129.0,336.0,4.0
118.0,1420.0,4.0
115.0,1847.0,11.0
123.0,99.0,4.0
117.0,498.0,12.0
124.0,563.0,4.0
116.0,588.0,4.0
123.0,817.0,4.0
122.0,1488.0,4.0
123.0,1591.0,4.0
125.0,249.0,4.0
128.0,850.0,4.0
126.0,904.0,4.0
126.0,1026.0,4.0
121.0,1470.0,4.0
132.0,996.0,4.0
123.0,1089.0,4.0
134.0,1318.0,4.0
122.0,1747.0,4.0
122.0,268.0,4.0
129.0,1911.0,4.0
134.0,603.0,4.0
132.0,150.0,4.0
132.0,226.0,4.0
139.0,380.0,4.0
130.0,512.0,7.0
131.0,531.0,4.0
126.0,1255.0,4.0
126.0,1937.0,11.0
133.0,87.0,4.0
132.0,772.0,4.0
134.0,490.0,7.0
141.0,1463.0,4.0
139.0,1841.0,4.0
129.0,1371.0,4.0
134.0,1046.0,4.0
136.0,1079.0,4.0
132.0,1159.0,4.0
141.0,1213.0,4.0
130.0,1384.0,4.0
138.0,578.0,8.0
133.0,1237.0,4.0
145.0,1708.0,4.0
134.0,291.0,7.0
140.0,681.0,4.0
134.0,1066.0,4.0
137.0,1170.0,4.0
138.0,553.0,4.0
137.0,1147.0,4.0
141.0,1191.0,4.0
138.0,402.0,7.0
138.0,469.0,4.0
145.0,972.0,7.0
134.0,1499.0,4.0
147.0,1547.0,4.0
140.0,192.0,7.0
134.0,267.0,4.0
137.0,1746.0,4.0
143.0,1805.0,4.0
138.0,356.0,4.0
153.0,1358.0,4.0
144.0,1585.0,4.0
139.0,1818.0,4.0
148.0,827.0,4.0
143.0,1947.0,4.0
143.0,115.0,7.0
162.0,303.0,4.0
146.0,1017.0,4.0
142.0,1287.0,4.0
148.0,1505.0,4.0
142.0,1778.0,4.0
136.0,814.0,4.0
148.0,1231.0,4.0
144.0,242.0,10.0
150.0,804.0,4.0
148.0,1485.0,4.0
143.0,276.0,4.0
149.0,256.0,7.0
148.0,941.0,15.0
147.0,1969.0,11.0
156.0,513.0,4.0
155.0,339.0,4.0
162.0,1424.0,4.0
148.0,630.0,7.0
149.0,1029.0,7.0
160.0,1045.0,4.0
159.0,1260.0,4.0
149.0,1522.0,4.0
155.0,137.0,7.0
162.0,271.0,7.0
150.0,286.0,4.0
160.0,955.0,4.0
151.0,851.0,4.0
160.0,1799.0,4.0
163.0,358.0,4.0
160.0,489.0,4.0
153.0,1180.0,4.0
