row,column,celltype
44.0,41.0,4.0
41.0,61.0,12.0
35.0,73.0,12.0
35.0,89.0,3.0
37.0,111.0,1.0
41.0,213.0,4.0
33.0,273.0,4.0
38.0,422.0,4.0
31.0,467.0,4.0
45.0,493.0,4.0
32.0,638.0,4.0
31.0,676.0,4.0
39.0,717.0,3.0
35.0,735.0,3.0
33.0,845.0,4.0
45.0,879.0,4.0
33.0,911.0,4.0
35.0,965.0,12.0
38.0,1053.0,3.0
43.0,1093.0,4.0
37.0,1158.0,4.0
41.0,1185.0,12.0
33.0,1234.0,4.0
30.0,1248.0,12.0
37.0,1263.0,4.0
41.0,1322.0,4.0
34.0,1381.0,4.0
36.0,1406.0,4.0
38.0,1487.0,3.0
39.0,1693.0,4.0
42.0,1728.0,4.0
35.0,1785.0,4.0
40.0,1834.0,3.0
33.0,1861.0,12.0
42.0,1876.0,12.0
40.0,1920.0,12.0
34.0,1955.0,12.0
44.0,613.0,3.0
41.0,839.0,4.0
39.0,1207.0,4.0
46.0,1893.0,3.0
43.0,475.0,4.0
41.0,572.0,4.0
48.0,397.0,4.0
49.0,1537.0,12.0
48.0,1590.0,4.0
42.0,682.0,4.0
45.0,1242.0,4.0
51.0,1364.0,4.0
54.0,1338.0,4.0
45.0,1467.0,4.0
61.0,1273.0,4.0
51.0,1561.0,12.0
60.0,1673.0,4.0
58.0,1812.0,4.0
56.0,1941.0,3.0
51.0,1855.0,12.0
54.0,102.0,12.0
52.0,1760.0,4.0
57.0,75.0,16.0
64.0,140.0,1.0
52.0,735.0,15.0
50.0,745.0,4.0
64.0,945.0,12.0
49.0,1223.0,4.0
53.0,1165.0,4.0
66.0,1709.0,4.0
58.0,532.0,7.0
65.0,1115.0,4.0
64.0,1487.0,4.0
67.0,1013.0,12.0
66.0,1394.0,4.0
67.0,167.0,12.0
68.0,416.0,4.0
67.0,837.0,12.0
68.0,672.0,4.0
71.0,1304.0,4.0
60.0,1839.0,4.0
64.0,1994.0,1.0
69.0,1074.0,4.0
70.0,1157.0,4.0
65.0,756.0,4.0
68.0,1226.0,12.0
63.0,1866.0,12.0
67.0,1520.0,4.0
73.0,1750.0,4.0
66.0,46.0,3.0
83.0,482.0,4.0
77.0,384.0,3.0
85.0,1469.0,4.0
71.0,519.0,4.0
73.0,1576.0,4.0
68.0,1623.0,4.0
81.0,1888.0,4.0
77.0,99.0,3.0
78.0,786.0,4.0
88.0,1850.0,4.0
85.0,806.0,4.0
75.0,1549.0,12.0
78.0,1918.0,16.0
74.0,1602.0,12.0
81.0,891.0,12.0
82.0,1031.0,3.0
89.0,1783.0,4.0
85.0,1817.0,4.0
84.0,1979.0,4.0
93.0,761.0,4.0
90.0,1688.0,4.0
86.0,43.0,16.0
100.0,74.0,4.0
91.0,580.0,16.0
90.0,935.0,12.0
86.0,1062.0,15.0
85.0,1121.0,4.0
95.0,1216.0,4.0
88.0,1399.0,4.0
98.0,125.0,3.0
86.0,184.0,12.0
95.0,1589.0,4.0
98.0,718.0,12.0
96.0,853.0,12.0
93.0,1155.0,4.0
95.0,1254.0,4.0
97.0,1427.0,4.0
96.0,1015.0,7.0
94.0,1662.0,4.0
102.0,1719.0,4.0
106.0,1527.0,4.0
95.0,1545.0,4.0
96.0,666.0,4.0
99.0,419.0,3.0
103.0,401.0,3.0
103.0,999.0,7.0
101.0,1114.0,4.0
102.0,1756.0,4.0
97.0,343.0,12.0
97.0,1050.0,1.0
106.0,241.0,4.0
111.0,1238.0,4.0
102.0,1904.0,4.0
107.0,590.0,3.0
104.0,607.0,3.0
103.0,1358.0,3.0
109.0,628.0,3.0
108.0,647.0,4.0
113.0,681.0,4.0
103.0,1065.0,12.0
120.0,1603.0,4.0
107.0,384.0,3.0
116.0,877.0,4.0
126.0,1635.0,4.0
110.0,1822.0,4.0
116.0,41.0,4.0
108.0,1282.0,4.0
108.0,1040.0,3.0
114.0,1560.0,4.0
110.0,1140.0,4.0
118.0,1187.0,4.0
116.0,550.0,4.0
105.0,1875.0,4.0
110.0,109.0,4.0
111.0,947.0,8.0
118.0,150.0,4.0
119.0,1855.0,4.0
119.0,329.0,4.0
113.0,1166.0,4.0
114.0,1790.0,4.0
122.0,1952.0,4.0
121.0,1988.0,4.0
132.0,175.0,1.0
125.0,918.0,4.0
123.0,1297.0,4.0
126.0,1916.0,4.0
121.0,372.0,3.0
128.0,1324.0,4.0
125.0,1671.0,3.0
119.0,834.0,14.0
114.0,1055.0,3.0
116.0,100.0,4.0
126.0,1377.0,4.0
125.0,1879.0,4.0
131.0,425.0,1.0
123.0,1020.0,12.0
129.0,1214.0,4.0
128.0,1759.0,4.0
129.0,711.0,4.0
129.0,1417.0,4.0
128.0,1153.0,4.0
123.0,112.0,4.0
130.0,1058.0,3.0
144.0,1279.0,4.0
133.0,1247.0,4.0
135.0,1537.0,4.0
131.0,635.0,3.0
133.0,1140.0,4.0
143.0,525.0,4.0
135.0,1724.0,4.0
146.0,656.0,4.0
146.0,789.0,3.0
141.0,840.0,14.0
143.0,942.0,3.0
145.0,1128.0,4.0
137.0,1441.0,4.0
144.0,111.0,4.0
139.0,680.0,4.0
141.0,1006.0,3.0
152.0,219.0,1.0
143.0,1566.0,4.0
144.0,362.0,12.0
144.0,734.0,16.0
151.0,562.0,4.0
140.0,1024.0,3.0
149.0,328.0,4.0
141.0,477.0,4.0
151.0,1197.0,4.0
147.0,1889.0,4.0
144.0,400.0,3.0
153.0,1503.0,4.0
162.0,280.0,4.0
157.0,495.0,4.0
147.0,590.0,3.0
150.0,612.0,3.0
156.0,1994.0,4.0
166.0,193.0,1.0
159.0,825.0,15.0
148.0,1368.0,3.0
161.0,1943.0,4.0
158.0,709.0,4.0
158.0,1443.0,4.0
158.0,602.0,3.0
156.0,1172.0,4.0
161.0,1415.0,4.0
157.0,1676.0,4.0
151.0,1749.0,3.0
160.0,1786.0,4.0
161.0,137.0,4.0
160.0,1728.0,4.0
156.0,981.0,12.0
170.0,250.0,4.0
163.0,1532.0,4.0
160.0,1599.0,12.0
171.0,630.0,15.0
165.0,1646.0,4.0
171.0,1753.0,4.0
163.0,1008.0,12.0
163.0,928.0,4.0
161.0,1044.0,15.0
174.0,1459.0,4.0
167.0,1561.0,4.0
168.0,593.0,3.0
170.0,1220.0,4.0
166.0,1883.0,4.0
177.0,468.0,4.0
174.0,664.0,4.0
185.0,948.0,4.0
174.0,792.0,12.0
179.0,519.0,4.0
173.0,1131.0,4.0
177.0,1486.0,4.0
175.0,120.0,4.0
174.0,1852.0,12.0
174.0,1253.0,4.0
177.0,2013.0,4.0
177.0,539.0,4.0
189.0,1090.0,12.0
181.0,1172.0,4.0
184.0,1678.0,4.0
186.0,810.0,15.0
188.0,559.0,4.0
181.0,487.0,3.0
182.0,752.0,12.0
188.0,1204.0,4.0
187.0,892.0,3.0
193.0,1414.0,4.0
182.0,1959.0,4.0
193.0,1987.0,4.0
187.0,1112.0,12.0
184.0,1273.0,4.0
189.0,1644.0,4.0
195.0,1141.0,4.0
196.0,1730.0,4.0
197.0,1932.0,4.0
195.0,223.0,3.0
201.0,1287.0,4.0
196.0,1585.0,4.0
191.0,1817.0,4.0
197.0,653.0,4.0
207.0,855.0,4.0
199.0,498.0,4.0
195.0,615.0,1.0
202.0,1047.0,3.0
199.0,719.0,4.0
200.0,1360.0,12.0
196.0,1605.0,4.0
195.0,1837.0,1.0
207.0,1233.0,4.0
198.0,2011.0,4.0
208.0,1464.0,4.0
198.0,1757.0,4.0
208.0,155.0,4.0
197.0,250.0,1.0
207.0,1262.0,4.0
209.0,1560.0,4.0
208.0,264.0,3.0
204.0,883.0,4.0
201.0,1069.0,3.0
206.0,533.0,4.0
203.0,744.0,3.0
201.0,775.0,15.0
208.0,758.0,3.0
216.0,1710.0,4.0
213.0,623.0,3.0
204.0,1156.0,4.0
208.0,1848.0,7.0
213.0,49.0,4.0
214.0,1194.0,4.0
214.0,1638.0,4.0
206.0,930.0,7.0
215.0,804.0,12.0
210.0,1317.0,8.0
214.0,1338.0,16.0
211.0,1818.0,4.0
210.0,1120.0,4.0
214.0,103.0,4.0
216.0,1373.0,3.0
214.0,1392.0,3.0
222.0,555.0,4.0
219.0,724.0,7.0
219.0,1509.0,4.0
226.0,1603.0,4.0
224.0,489.0,4.0
226.0,1163.0,4.0
220.0,1752.0,4.0
226.0,241.0,4.0
215.0,1415.0,4.0
228.0,1775.0,4.0
225.0,1129.0,4.0
226.0,183.0,4.0
225.0,688.0,12.0
233.0,1488.0,4.0
220.0,1938.0,12.0
220.0,704.0,16.0
223.0,1431.0,4.0
230.0,1525.0,4.0
224.0,1664.0,4.0
228.0,122.0,3.0
230.0,525.0,4.0
227.0,330.0,4.0
230.0,1316.0,8.0
229.0,432.0,3.0
228.0,822.0,1.0
242.0,917.0,4.0
237.0,1999.0,4.0
242.0,1837.0,4.0
231.0,1812.0,8.0
239.0,58.0,4.0
235.0,144.0,4.0
239.0,744.0,1.0
233.0,847.0,4.0
236.0,272.0,4.0
235.0,392.0,12.0
245.0,1903.0,4.0
236.0,798.0,4.0
244.0,995.0,10.0
235.0,1198.0,4.0
243.0,1626.0,4.0
241.0,715.0,4.0
247.0,952.0,4.0
250.0,1141.0,4.0
240.0,1937.0,12.0
242.0,1655.0,12.0
245.0,352.0,4.0
248.0,696.0,4.0
242.0,814.0,4.0
244.0,1428.0,4.0
239.0,264.0,4.0
248.0,894.0,4.0
250.0,1967.0,12.0
242.0,827.0,4.0
252.0,841.0,4.0
248.0,668.0,8.0
248.0,1228.0,4.0
251.0,252.0,4.0
264.0,297.0,4.0
259.0,186.0,4.0
250.0,791.0,4.0
248.0,1187.0,4.0
258.0,1204.0,4.0
249.0,1381.0,4.0
254.0,109.0,3.0
251.0,318.0,4.0
251.0,1712.0,4.0
258.0,1763.0,4.0
252.0,1806.0,4.0
262.0,2009.0,4.0
257.0,221.0,4.0
263.0,1172.0,4.0
256.0,1408.0,4.0
257.0,1510.0,12.0
253.0,390.0,4.0
264.0,1072.0,4.0
260.0,519.0,3.0
255.0,1052.0,4.0
263.0,1277.0,3.0
266.0,1476.0,12.0
258.0,1485.0,12.0
261.0,1032.0,7.0
269.0,1556.0,12.0
265.0,1668.0,11.0
264.0,812.0,4.0
260.0,68.0,3.0
265.0,606.0,3.0
264.0,825.0,4.0
266.0,784.0,4.0
273.0,1790.0,4.0
272.0,163.0,4.0
264.0,332.0,4.0
268.0,414.0,4.0
268.0,720.0,1.0
271.0,1444.0,4.0
277.0,382.0,4.0
266.0,1005.0,12.0
263.0,1110.0,3.0
266.0,1255.0,3.0
270.0,1886.0,4.0
277.0,1855.0,4.0
272.0,981.0,12.0
276.0,1522.0,12.0
279.0,1820.0,4.0
268.0,582.0,4.0
276.0,689.0,12.0
270.0,941.0,12.0
269.0,1714.0,4.0
276.0,39.0,4.0
272.0,799.0,4.0
277.0,1981.0,12.0
275.0,901.0,4.0
270.0,1962.0,1.0
282.0,1101.0,4.0
274.0,1221.0,4.0
277.0,871.0,4.0
276.0,919.0,4.0
290.0,1915.0,4.0
276.0,112.0,1.0
