row,column,celltype
34.0,38.0,4.0
31.0,68.0,4.0
41.0,103.0,4.0
33.0,181.0,3.0
42.0,199.0,3.0
36.0,239.0,7.0
35.0,256.0,7.0
35.0,395.0,16.0
36.0,431.0,7.0
35.0,462.0,12.0
40.0,500.0,12.0
38.0,564.0,12.0
35.0,628.0,12.0
40.0,680.0,5.0
36.0,728.0,6.0
36.0,821.0,4.0
38.0,860.0,12.0
31.0,917.0,4.0
46.0,943.0,4.0
33.0,990.0,4.0
35.0,1013.0,4.0
39.0,1034.0,4.0
31.0,1047.0,4.0
40.0,1064.0,4.0
36.0,1139.0,4.0
41.0,1159.0,5.0
41.0,1176.0,4.0
32.0,1208.0,4.0
39.0,1230.0,4.0
35.0,1242.0,4.0
35.0,1258.0,4.0
34.0,1290.0,4.0
35.0,1313.0,4.0
34.0,1351.0,4.0
37.0,1372.0,4.0
31.0,1389.0,3.0
34.0,1438.0,2.0
40.0,1471.0,3.0
32.0,1517.0,6.0
34.0,1572.0,14.0
33.0,1619.0,7.0
32.0,1637.0,6.0
38.0,1655.0,6.0
39.0,1685.0,14.0
43.0,1707.0,14.0
40.0,1729.0,7.0
36.0,1749.0,14.0
36.0,1765.0,6.0
36.0,1785.0,12.0
36.0,1804.0,14.0
32.0,1820.0,7.0
36.0,1841.0,10.0
31.0,1870.0,6.0
40.0,1885.0,6.0
32.0,1915.0,6.0
31.0,1950.0,12.0
32.0,1975.0,14.0
40.0,1993.0,8.0
45.0,1277.0,12.0
44.0,1858.0,6.0
37.0,2009.0,8.0
49.0,777.0,12.0
49.0,1400.0,14.0
44.0,1494.0,12.0
49.0,1609.0,14.0
47.0,66.0,4.0
39.0,593.0,12.0
48.0,588.0,12.0
44.0,840.0,4.0
50.0,1109.0,4.0
44.0,1422.0,8.0
44.0,882.0,4.0
49.0,1215.0,4.0
48.0,1914.0,6.0
60.0,146.0,3.0
48.0,1823.0,10.0
43.0,366.0,12.0
51.0,445.0,12.0
44.0,1328.0,4.0
48.0,1518.0,14.0
52.0,1967.0,6.0
43.0,1633.0,6.0
51.0,2013.0,6.0
51.0,712.0,7.0
47.0,996.0,4.0
58.0,1192.0,4.0
64.0,916.0,4.0
49.0,1346.0,4.0
56.0,692.0,5.0
56.0,1449.0,4.0
51.0,1568.0,6.0
53.0,1794.0,6.0
48.0,1803.0,6.0
51.0,47.0,4.0
63.0,809.0,4.0
55.0,1020.0,4.0
59.0,1243.0,4.0
58.0,1314.0,4.0
50.0,1586.0,6.0
60.0,35.0,4.0
59.0,390.0,12.0
59.0,1048.0,4.0
60.0,1133.0,4.0
60.0,1299.0,4.0
57.0,1766.0,6.0
59.0,356.0,10.0
54.0,1640.0,14.0
60.0,1663.0,14.0
64.0,101.0,4.0
64.0,520.0,12.0
54.0,731.0,8.0
64.0,1370.0,4.0
61.0,1838.0,5.0
60.0,487.0,8.0
68.0,1335.0,4.0
59.0,1871.0,6.0
60.0,1889.0,6.0
60.0,1998.0,6.0
61.0,829.0,4.0
68.0,1783.0,6.0
67.0,572.0,12.0
68.0,217.0,5.0
58.0,845.0,4.0
74.0,980.0,4.0
69.0,1155.0,4.0
64.0,1555.0,14.0
63.0,994.0,4.0
65.0,1430.0,14.0
64.0,1804.0,6.0
76.0,861.0,4.0
70.0,1475.0,11.0
73.0,1630.0,14.0
67.0,1910.0,6.0
68.0,878.0,4.0
71.0,1283.0,4.0
67.0,1494.0,12.0
72.0,1710.0,14.0
66.0,1856.0,10.0
71.0,623.0,5.0
65.0,649.0,11.0
77.0,1262.0,5.0
65.0,1591.0,6.0
70.0,1647.0,10.0
75.0,1946.0,10.0
69.0,737.0,15.0
73.0,1821.0,6.0
72.0,59.0,4.0
81.0,1074.0,4.0
66.0,1517.0,10.0
74.0,447.0,12.0
73.0,1016.0,4.0
69.0,1216.0,4.0
76.0,1578.0,14.0
71.0,714.0,11.0
91.0,901.0,4.0
74.0,1409.0,6.0
72.0,1982.0,6.0
79.0,1968.0,6.0
78.0,241.0,14.0
77.0,1106.0,4.0
77.0,1752.0,12.0
76.0,2004.0,12.0
82.0,840.0,4.0
80.0,1604.0,8.0
80.0,1872.0,10.0
80.0,488.0,5.0
78.0,1464.0,7.0
81.0,759.0,12.0
78.0,2016.0,11.0
85.0,182.0,12.0
88.0,642.0,1.0
81.0,1181.0,4.0
79.0,1440.0,7.0
83.0,361.0,12.0
85.0,1041.0,4.0
82.0,1527.0,16.0
84.0,1667.0,12.0
86.0,1512.0,10.0
86.0,1554.0,14.0
88.0,334.0,6.0
82.0,1693.0,12.0
79.0,1802.0,6.0
84.0,410.0,12.0
94.0,690.0,4.0
83.0,1227.0,4.0
84.0,1452.0,7.0
86.0,35.0,4.0
90.0,105.0,4.0
94.0,387.0,12.0
91.0,537.0,12.0
96.0,1141.0,4.0
90.0,1325.0,4.0
87.0,1912.0,6.0
91.0,588.0,12.0
93.0,795.0,4.0
97.0,942.0,4.0
94.0,1207.0,4.0
109.0,50.0,4.0
99.0,1298.0,4.0
88.0,1494.0,8.0
85.0,720.0,11.0
90.0,959.0,4.0
93.0,1389.0,4.0
93.0,1427.0,6.0
92.0,1619.0,14.0
93.0,1737.0,14.0
92.0,222.0,7.0
90.0,1784.0,7.0
96.0,476.0,6.0
104.0,772.0,4.0
98.0,976.0,4.0
93.0,1405.0,14.0
96.0,1761.0,14.0
97.0,510.0,7.0
92.0,1015.0,4.0
97.0,1887.0,10.0
100.0,1989.0,6.0
98.0,608.0,14.0
92.0,1817.0,12.0
100.0,134.0,12.0
100.0,1536.0,10.0
96.0,1575.0,3.0
97.0,1801.0,6.0
106.0,2010.0,6.0
103.0,207.0,12.0
98.0,1110.0,4.0
103.0,1369.0,4.0
95.0,1471.0,8.0
97.0,1848.0,11.0
99.0,1944.0,10.0
111.0,444.0,14.0
99.0,1259.0,4.0
95.0,1587.0,6.0
106.0,1599.0,8.0
107.0,236.0,14.0
108.0,824.0,4.0
107.0,1243.0,4.0
105.0,1647.0,12.0
108.0,1721.0,14.0
106.0,1863.0,6.0
109.0,81.0,4.0
106.0,1050.0,4.0
103.0,1275.0,4.0
110.0,409.0,5.0
102.0,869.0,12.0
106.0,1452.0,8.0
101.0,1698.0,12.0
109.0,1170.0,4.0
100.0,1184.0,4.0
109.0,1628.0,14.0
108.0,1829.0,11.0
103.0,271.0,3.0
110.0,326.0,12.0
116.0,1226.0,4.0
106.0,1489.0,8.0
116.0,1921.0,10.0
108.0,740.0,4.0
108.0,1962.0,12.0
115.0,286.0,12.0
108.0,1072.0,4.0
115.0,1091.0,4.0
109.0,1511.0,12.0
108.0,1007.0,4.0
